username: 30891, Experiment time (minutes): 17
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
30891	0	1	50	85	85	50	80	50	Att2	1	49	1	7603
30891	0	2	50	80	80	50	32	125	Com1	2	49	1	4001
30891	0	3	85	60	80	50	65	60	Fill	6	51	1	1547
30891	1	1	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	1151
30891	1	2	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	3	50	1	1887
30891	1	3	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	4	51	2	2422
30891	1	4	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	1	49	1	1538
30891	1	5	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	51	1	3310
30891	1	6	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	5	49	2	3747
30891	1	7	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	2	51	2	1218
30891	1	8	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	987
30891	1	9	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	1	50	2	2375
30891	1	10	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	4	50	1	3553
30891	1	11	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	2	49	1	1463
30891	1	12	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	4	51	2	1375
30891	1	13	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	5	49	2	618
30891	1	14	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	2	51	2	708
30891	1	15	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	3	50	1	1122
30891	1	16	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	5	49	2	647
30891	1	17	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	5	51	1	783
30891	1	18	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	3	50	1	2186
30891	1	19	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	49	2	1500
30891	1	20	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	6	51	1	626
30891	1	21	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	4	50	1	1539
30891	1	22	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	5	50	3	1058
30891	1	23	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	4	51	2	2617
30891	1	24	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	5	49	2	987
30891	1	25	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	4	50	1	1007
30891	1	26	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	6	51	1	1026
30891	1	27	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	6	51	1	821
30891	1	28	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	50	1	1839
30891	1	29	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	2	51	2	2254
30891	1	30	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	4	50	1	1287
30891	1	31	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	3	50	1	959
30891	1	32	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	5	51	1	1108
30891	1	33	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	3	50	1	1386
30891	1	34	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	4	50	1	763
30891	1	35	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	4	49	3	954
30891	1	36	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	51	2	1407
30891	1	37	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	1177
30891	1	38	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	5	51	1	1124
30891	1	39	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	49	2	1170
30891	1	40	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	2	51	2	820
30891	1	41	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	49	1	1438
30891	1	42	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	1	49	1	1262
30891	1	43	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	2	51	2	599
30891	1	44	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	50	1	1306
30891	1	45	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	4	50	1	975
30891	1	46	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	1	49	1	1394
30891	1	47	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	4	51	2	974
30891	1	48	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	4	50	1	1234
30891	1	49	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	6	50	2	2793
30891	1	50	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	5	51	1	1011
30891	1	51	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	3	51	3	743
30891	1	52	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	51	1	819
30891	1	53	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	5	49	2	830
30891	1	54	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	50	1	1409
30891	1	55	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	5	49	2	1004
30891	1	56	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	4	51	2	703
30891	1	57	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	5	51	1	645
30891	1	58	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	1	49	1	1237
30891	1	59	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	2	51	2	572
30891	1	60	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	1	49	1	1062
30891	1	61	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	3	49	2	1094
30891	1	62	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	2	49	1	924
30891	1	63	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	4	51	2	1250
30891	1	64	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	50	1	914
30891	1	65	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	50	1	1222
30891	1	66	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	2	51	2	1538
30891	1	67	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	2	49	1	598
30891	1	68	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	5	51	1	1234
30891	1	69	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	1	50	2	1899
30891	1	70	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	50	1	1145
30891	1	71	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	5	51	1	646
30891	1	72	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	50	1	1006
30891	1	73	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	5	51	1	706
30891	1	74	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	4	51	2	1358
30891	1	75	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	5	51	1	1459
30891	1	76	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	4	50	1	1851
30891	1	77	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	2	51	2	2052
30891	1	78	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	6	51	1	1891
30891	1	79	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	6	51	1	772
30891	1	80	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	4	50	1	1320
30891	2	1	60.000	  86.000	  78.000	  51.000	  62.000	  67.000	Fill	2	49	1	701
30891	2	2	52.000	  82.000	  81.000	  52.642	  52.000	  75.000	AttF1	6	49	3	871
30891	2	3	50.000	  80.000	  80.000	  50.000	  42.000	  80.000	AttR1	4	50	1	854
30891	2	4	49.000	  79.000	  84.000	  58.000	  68.000	  61.000	Fill	4	49	3	902
30891	2	5	51.000	  77.000	  85.000	  60.000	  68.000	  61.000	Fill	1	50	2	1019
30891	2	6	52.000	  80.000	  79.000	  52.658	  74.000	  48.100	AttRF2	3	50	1	774
30891	2	7	49.000	  78.000	  77.000	  49.636	  41.000	  78.000	AttR1	2	49	1	857
30891	2	8	50.000	  80.000	  78.000	  51.282	  50.000	  73.000	AttF1	5	51	1	722
30891	2	9	49.000	  78.000	  79.000	  48.380	  70.000	  48.380	AttF2	5	49	2	1862
30891	2	10	49.000	  80.000	  79.000	  49.620	  47.108	  75.000	AttRF1	1	50	2	2135
30891	2	11	49.000	  78.000	  79.000	  48.380	  79.000	  41.380	AttR2	3	50	1	2420
30891	2	12	50.000	  80.000	  81.000	  49.383	  50.000	  71.000	AttF1	6	51	1	1887
30891	2	13	49.000	  82.000	  80.000	  50.225	  48.342	  77.000	AttRF1	2	49	1	2023
30891	2	14	50.000	  80.000	  81.000	  49.383	  45.725	  75.000	AttRF1	2	49	1	1338
30891	2	15	49.000	  78.000	  79.000	  48.380	  49.000	  69.000	AttF1	6	51	1	1070
30891	2	16	52.000	  82.000	  81.000	  52.642	  81.000	  44.642	AttR2	2	51	2	1327
30891	2	17	50.000	  80.000	  78.000	  51.282	  74.000	  46.250	AttRF2	5	49	2	1124
30891	2	18	49.000	  82.000	  80.000	  50.225	  76.000	  45.415	AttRF2	6	50	2	1002
30891	2	19	50.000	  80.000	  80.000	  50.000	  46.875	  75.000	AttRF1	1	49	1	1320
30891	2	20	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	5	51	1	785
30891	2	21	48.000	  79.000	  79.000	  48.000	  48.000	  72.000	AttF1	6	51	1	987
30891	2	22	61.000	  82.000	  80.000	  53.000	  58.000	  67.000	Fill	1	49	1	631
30891	2	23	52.000	  80.000	  79.000	  52.658	  50.659	  76.000	AttRF1	6	51	1	657
30891	2	24	49.000	  82.000	  80.000	  50.225	  80.000	  42.225	AttR2	2	49	1	1114
30891	2	25	52.000	  80.000	  79.000	  52.658	  79.000	  43.658	AttR2	2	49	1	983
30891	2	26	49.000	  78.000	  77.000	  49.636	  72.000	  45.231	AttRF2	2	51	2	930
30891	2	27	49.000	  78.000	  77.000	  49.636	  49.000	  69.000	AttF1	1	49	1	911
30891	2	28	61.000	  83.000	  79.000	  50.000	  60.000	  66.000	Fill	5	51	1	611
30891	2	29	52.000	  82.000	  81.000	  52.642	  72.000	  52.642	AttF2	2	49	1	774
30891	2	30	59.000	  84.000	  82.000	  49.000	  62.000	  68.000	Fill	2	49	1	625
30891	2	31	49.000	  82.000	  80.000	  50.225	  40.000	  82.000	AttR1	5	51	1	628
30891	2	32	52.000	  80.000	  79.000	  52.658	  52.000	  72.000	AttF1	4	50	1	959
30891	2	33	52.000	  82.000	  81.000	  52.642	  43.000	  82.000	AttR1	4	51	2	1012
30891	2	34	50.000	  80.000	  81.000	  49.383	  76.000	  47.500	AttRF2	5	51	1	751
30891	2	35	49.000	  82.000	  80.000	  50.225	  71.000	  50.225	AttF2	2	49	1	475
30891	2	36	50.000	  80.000	  86.000	  60.000	  67.000	  59.000	Fill	5	49	2	931
30891	2	37	57.000	  86.000	  81.000	  50.000	  60.000	  68.000	Fill	1	51	3	1801
30891	2	38	50.000	  80.000	  80.000	  50.000	  76.000	  47.500	AttRF2	4	50	1	723
30891	2	39	50.000	  78.000	  84.000	  60.000	  67.000	  57.000	Fill	6	50	2	522
30891	2	40	50.000	  80.000	  87.000	  59.000	  66.000	  58.000	Fill	1	50	2	462
30891	2	41	52.000	  80.000	  79.000	  52.658	  44.000	  80.000	AttR1	3	50	1	622
30891	2	42	51.000	  82.000	  84.000	  60.000	  69.000	  60.000	Fill	5	51	1	850
30891	2	43	50.000	  80.000	  78.000	  51.282	  41.000	  80.000	AttR1	1	49	1	497
30891	2	44	50.000	  80.000	  78.000	  51.282	  71.000	  51.282	AttF2	5	51	1	505
30891	2	45	49.000	  80.000	  79.000	  49.620	  49.000	  72.000	AttF1	6	51	1	655
30891	2	46	50.000	  80.000	  81.000	  49.383	  81.000	  41.383	AttR2	2	49	1	638
30891	2	47	49.000	  78.000	  77.000	  49.636	  69.000	  49.636	AttF2	2	49	1	598
30891	2	48	50.000	  80.000	  81.000	  49.383	  41.000	  80.000	AttR1	4	50	1	802
30891	2	49	50.000	  80.000	  80.000	  50.000	  50.000	  71.000	AttF1	4	51	2	892
30891	2	50	49.000	  80.000	  79.000	  49.620	  70.000	  49.620	AttF2	2	51	2	1003
30891	2	51	60.000	  84.000	  80.000	  51.000	  60.000	  69.000	Fill	2	49	1	823
30891	2	52	49.000	  80.000	  79.000	  49.620	  79.000	  40.620	AttR2	5	51	1	898
30891	2	53	59.000	  85.000	  80.000	  50.000	  60.000	  68.000	Fill	2	49	1	658
30891	2	54	48.000	  79.000	  79.000	  48.000	  74.000	  44.962	AttRF2	2	51	2	737
30891	2	55	48.000	  79.000	  79.000	  48.000	  70.000	  48.000	AttF2	5	51	1	1079
30891	2	56	50.000	  80.000	  80.000	  50.000	  73.000	  50.000	AttF2	5	49	2	1174
30891	2	57	49.000	  78.000	  79.000	  48.380	  42.000	  78.000	AttR1	4	50	1	1298
30891	2	58	49.000	  78.000	  77.000	  49.636	  77.000	  41.636	AttR2	3	50	1	1650
30891	2	59	61.000	  85.000	  80.000	  49.000	  59.000	  67.000	Fill	5	51	1	914
30891	2	60	52.000	  82.000	  81.000	  52.642	  50.042	  77.000	AttRF1	2	49	1	983
30891	2	61	51.000	  79.000	  85.000	  59.000	  68.000	  60.000	Fill	5	49	2	946
30891	2	62	50.000	  80.000	  78.000	  51.282	  49.967	  76.000	AttRF1	3	50	1	1423
30891	2	63	50.000	  80.000	  81.000	  49.383	  73.000	  49.383	AttF2	1	50	2	1673
30891	2	64	48.000	  79.000	  79.000	  48.000	  41.000	  79.000	AttR1	5	51	1	697
30891	2	65	49.000	  78.000	  85.000	  60.000	  69.000	  59.000	Fill	5	49	2	610
30891	2	66	52.000	  80.000	  79.000	  52.658	  70.000	  52.658	AttF2	1	50	2	1091
30891	2	67	48.000	  79.000	  79.000	  48.000	  44.962	  74.000	AttRF1	4	50	1	1852
30891	2	68	49.000	  83.000	  85.000	  60.000	  70.000	  59.000	Fill	2	51	2	899
30891	2	69	49.000	  82.000	  80.000	  50.225	  49.000	  75.000	AttF1	2	49	1	913
30891	2	70	61.000	  86.000	  81.000	  47.000	  60.000	  67.000	Fill	3	50	1	766
30891	2	71	48.000	  79.000	  79.000	  48.000	  79.000	  40.000	AttR2	5	51	1	3266
30891	2	72	49.000	  78.000	  77.000	  49.636	  47.058	  73.000	AttRF1	5	51	1	1474
30891	2	73	49.000	  80.000	  79.000	  49.620	  41.000	  80.000	AttR1	3	50	1	2506
30891	2	74	49.000	  78.000	  79.000	  48.380	  45.318	  74.000	AttRF1	5	51	1	654
30891	2	75	49.000	  78.000	  79.000	  48.380	  75.000	  47.115	AttRF2	1	49	1	558
30891	2	76	57.000	  86.000	  76.000	  51.000	  56.000	  67.000	Fill	2	49	1	916
30891	2	77	52.000	  82.000	  81.000	  52.642	  77.000	  48.829	AttRF2	1	49	1	2306
30891	2	78	50.000	  82.000	  84.000	  60.000	  68.000	  58.000	Fill	1	50	2	1335
30891	2	79	50.000	  80.000	  80.000	  50.000	  80.000	  41.000	AttR2	4	50	1	772
30891	2	80	49.000	  80.000	  79.000	  49.620	  74.000	  45.325	AttRF2	5	51	1	606
30891	3	1	50.000	  81.000	  79.000	  51.266	  74.000	  45.679	AttRF2	6	50	2	886
30891	3	2	50.000	  81.000	  82.000	  49.390	  74.000	  49.390	AttF2	6	50	2	1422
30891	3	3	51.000	  77.000	  76.000	  51.671	  48.952	  72.000	AttRF1	2	49	1	874
30891	3	4	58.000	  88.000	  79.000	  50.000	  57.000	  69.000	Fill	2	49	1	554
30891	3	5	50.000	  81.000	  82.000	  49.390	  46.379	  77.000	AttRF1	2	49	1	719
30891	3	6	49.000	  81.000	  82.000	  48.402	  73.000	  48.402	AttF2	6	50	2	619
30891	3	7	50.000	  83.000	  85.000	  48.824	  45.377	  79.000	AttRF1	3	50	1	686
30891	3	8	50.000	  81.000	  79.000	  51.266	  79.000	  42.266	AttR2	3	49	2	590
30891	3	9	51.000	  77.000	  76.000	  51.671	  51.000	  69.000	AttF1	2	49	1	586
30891	3	10	49.000	  81.000	  82.000	  48.402	  40.000	  81.000	AttR1	6	51	1	1108
30891	3	11	50.000	  78.000	  80.000	  48.750	  75.000	  48.077	AttRF2	2	49	1	2842
30891	3	12	50.000	  83.000	  85.000	  48.824	  81.000	  48.795	AttRF2	6	51	1	689
30891	3	13	57.000	  87.000	  80.000	  51.000	  59.000	  70.000	Fill	1	50	2	905
30891	3	14	50.000	  81.000	  79.000	  51.266	  50.000	  73.000	AttF1	5	51	1	654
30891	3	15	51.000	  77.000	  76.000	  51.671	  44.000	  77.000	AttR1	5	49	2	910
30891	3	16	50.000	  78.000	  86.000	  58.000	  67.000	  59.000	Fill	4	50	1	20651
30891	3	17	50.000	  83.000	  85.000	  48.824	  85.000	  41.824	AttR2	3	50	1	643
30891	3	18	50.000	  78.000	  80.000	  48.750	  72.000	  48.750	AttF2	6	50	2	588
30891	3	19	58.000	  83.000	  79.000	  49.000	  58.000	  69.000	Fill	3	50	1	606
30891	3	20	50.000	  81.000	  81.000	  50.000	  76.000	  46.914	AttRF2	3	49	2	890
30891	3	21	50.000	  81.000	  81.000	  50.000	  81.000	  43.000	AttR2	1	49	1	594
30891	3	22	60.000	  82.000	  80.000	  51.000	  59.000	  68.000	Fill	4	50	1	611
30891	3	23	48.000	  79.000	  78.000	  48.615	  74.000	  44.962	AttRF2	5	51	1	590
30891	3	24	53.000	  79.000	  84.000	  57.000	  68.000	  60.000	Fill	6	49	3	586
30891	3	25	50.000	  78.000	  80.000	  48.750	  50.000	  70.000	AttF1	3	50	1	556
30891	3	26	50.000	  80.000	  81.000	  49.383	  74.000	  49.383	AttF2	5	51	1	801
30891	3	27	50.000	  80.000	  81.000	  49.383	  81.000	  42.383	AttR2	5	49	2	443
30891	3	28	50.000	  81.000	  79.000	  51.266	  49.319	  76.000	AttRF1	2	50	3	819
30891	3	29	64.000	  86.000	  79.000	  49.000	  59.000	  69.000	Fill	2	49	1	510
30891	3	30	50.000	  80.000	  81.000	  49.383	  50.000	  71.000	AttF1	4	51	2	884
30891	3	31	48.000	  79.000	  78.000	  48.615	  48.000	  72.000	AttF1	3	51	3	1012
