username: 50998, Experiment time (minutes): 39
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,0,45,2

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
50998	0	1	50	85	85	50	80	50	Att2	5	49	2	2319
50998	0	2	50	80	80	50	32	125	Com1	2	51	2	1184
50998	0	3	85	60	80	50	65	60	Fill	3	50	1	3068
50998	1	1	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	3	49	2	4986
50998	1	2	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	2	51	2	2833
50998	1	3	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	2	49	1	3966
50998	1	4	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	2	49	1	4519
50998	1	5	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	1	50	2	2123
50998	1	6	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	5	51	1	1751
50998	1	7	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	5	49	2	1177
50998	1	8	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	1	49	1	1720
50998	1	9	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	4	50	1	766
50998	1	10	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	5	51	1	971
50998	1	11	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	6	51	1	1068
50998	1	12	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	1	50	2	1465
50998	1	13	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	2	51	2	1027
50998	1	14	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	5	51	1	1844
50998	1	15	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	2	49	1	1386
50998	1	16	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	5	51	1	773
50998	1	17	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	3	50	1	1552
50998	1	18	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	5	51	1	728
50998	1	19	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	6	50	2	689
50998	1	20	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	5	51	1	4669
50998	1	21	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	3	49	2	662
50998	1	22	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	6	51	1	687
50998	1	23	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	3	50	1	734
50998	1	24	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	50	1	727
50998	1	25	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	1	50	2	1071
50998	1	26	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	6	50	2	735
50998	1	27	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	6	50	2	3527
50998	1	28	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	2	51	2	2499
50998	1	29	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	2	49	1	2048
50998	1	30	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	4	51	2	842
50998	1	31	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	4	51	2	1289
50998	1	32	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	5	51	1	810
50998	1	33	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	50	1	1158
50998	1	34	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	1	51	3	3344
50998	1	35	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	6	51	1	1329
50998	1	36	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	5	51	1	1580
50998	1	37	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	6	50	2	639
50998	1	38	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	6	51	1	729
50998	1	39	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	50	1	2355
50998	1	40	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	3	50	1	748
50998	1	41	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	2	51	2	1330
50998	1	42	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	49	2	1770
50998	1	43	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	1	50	2	2316
50998	1	44	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	2	51	2	933
50998	1	45	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	5	51	1	2924
50998	1	46	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	6	51	1	656
50998	1	47	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	5	51	1	964
50998	1	48	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	5	49	2	1242
50998	1	49	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	958
50998	1	50	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	2	49	1	1260
50998	1	51	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	4	50	1	646
50998	1	52	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	4	50	1	535
50998	1	53	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	3	49	2	3214
50998	1	54	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	4	50	1	605
50998	1	55	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	2	49	1	1055
50998	1	56	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	6	50	2	865
50998	1	57	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	3	49	2	1093
50998	1	58	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	3	49	2	4044
50998	1	59	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	3	50	1	2280
50998	1	60	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	3	49	2	1139
50998	1	61	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	1	50	2	747
50998	1	62	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	584
50998	1	63	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	2	51	2	589
50998	1	64	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	2	51	2	2398
50998	1	65	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	6	50	2	4587
50998	1	66	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	49	2	2643
50998	1	67	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	2	51	2	1822
50998	1	68	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	6	50	2	575
50998	1	69	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	4	50	1	597
50998	1	70	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	6	50	2	2553
50998	1	71	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	1	50	2	2486
50998	1	72	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	3	50	1	1594
50998	1	73	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	49	2	2052
50998	1	74	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	3	49	2	734
50998	1	75	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	6	50	2	1436
50998	1	76	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	1	50	2	1829
50998	1	77	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	2	49	1	2068
