username: 51031, Experiment time (minutes): 35
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,0,32,18

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51031	0	1	50	85	85	50	80	50	Att2	2	51	2	11326
51031	0	2	85	60	80	50	65	60	Fill	2	49	1	4446
51031	0	3	50	80	80	50	32	125	Com1	5	50	3	9844
51031	1	1	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	1	50	2	2776
51031	1	2	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	2	49	1	4430
51031	1	3	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	5	49	2	4352
51031	1	4	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	5	49	2	8720
51031	1	5	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	6	51	1	9906
51031	1	6	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	1	50	2	3463
51031	1	7	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	3	49	2	6490
51031	1	8	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	3	49	2	3120
51031	1	9	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	4	51	2	3681
51031	1	10	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	4	51	2	1856
51031	1	11	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	6	51	1	14212
51031	1	12	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	1	50	2	11575
51031	1	13	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	6	51	1	4539
51031	1	14	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	5	49	2	5023
51031	1	15	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	5	49	2	7862
51031	1	16	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	4	51	2	6614
51031	1	17	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	3	50	1	12948
51031	1	18	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	1	49	1	7144
51031	1	19	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	2	51	2	4399
51031	1	20	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	2	49	1	2231
51031	1	21	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	3	49	2	2855
51031	1	22	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	5	49	2	2808
51031	1	23	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	2	51	2	4711
51031	1	24	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	4	51	2	7707
51031	1	25	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	2	51	2	2824
51031	1	26	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	1	50	2	2106
51031	1	27	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	1	50	2	3027
51031	1	28	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	5	49	2	4227
