username: 51052, Experiment time (minutes): 12
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51052	0	1	50	85	85	50	80	50	Att2	2	51	2	10227
51052	0	2	85	60	80	50	65	60	Fill	2	49	1	6627
51052	0	3	50	80	80	50	32	125	Com1	3	49	2	5542
51052	1	1	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	49	1	2446
51052	1	2	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	49	1	1918
51052	1	3	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	50	1	1515
51052	1	4	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	4	50	1	1145
51052	1	5	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	3	49	2	295
51052	1	6	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	2	50	3	230
51052	1	7	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	5	51	1	280
51052	1	8	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	50	1	426
51052	1	9	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	5	49	2	132
51052	1	10	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	5	50	3	522
51052	1	11	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	4	51	2	255
51052	1	12	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	49	2	190
51052	1	13	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	5	50	3	178
51052	1	14	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	1	49	1	228
51052	1	15	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	4	51	2	198
51052	1	16	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	4	50	1	249
51052	1	17	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	5	50	3	217
51052	1	18	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	3	50	1	236
51052	1	19	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	5	49	2	187
51052	1	20	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	3	49	2	238
51052	1	21	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	6	51	1	415
51052	1	22	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	1	50	2	233
51052	1	23	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	6	51	1	252
51052	1	24	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	3	49	2	123
51052	1	25	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	4	50	1	161
51052	1	26	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	4	49	3	6
51052	1	27	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	5	50	3	466
51052	1	28	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	51	2	266
51052	1	29	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	3	50	1	217
51052	1	30	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	5	49	2	235
51052	1	31	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	4	50	1	156
51052	1	32	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	51	1	146
