username: 51232, Experiment time (minutes): 34
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51232	0	1	85	60	80	50	65	60	Fill	4	50	1	831
51232	0	2	50	80	80	50	32	125	Com1	4	50	1	3011
51232	0	3	50	85	85	50	80	50	Att2	6	49	3	2062
51232	1	1	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	4	51	2	2090
51232	1	2	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	2	51	2	1063
51232	1	3	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	5	49	2	740
51232	1	4	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	950
51232	1	5	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	51	2	938
51232	1	6	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	1	49	1	836
51232	1	7	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	2	51	2	612
51232	1	8	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	6	50	2	733
51232	1	9	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	5	51	1	702
51232	1	10	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	1	49	1	1318
51232	1	11	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	4	50	1	726
51232	1	12	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	5	51	1	589
51232	1	13	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	6	51	1	715
51232	1	14	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	3	50	1	678
51232	1	15	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	4	51	2	1089
51232	1	16	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	3	49	2	1667
