username: 51295, Experiment time (minutes): 18
Operating system: Mac OS 10.6.6
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,2,152,33

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51295	0	1	50	80	80	50	32	125	Com1	2	50	3	2891
51295	0	2	85	60	80	50	65	60	Fill	4	50	1	1590
51295	0	3	50	85	85	50	80	50	Att2	5	49	2	1827
51295	1	1	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	6	51	1	1507
51295	1	2	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	971
51295	1	3	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	3	49	2	1422
51295	1	4	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	1	49	1	1361
51295	1	5	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	5	51	1	813
51295	1	6	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	2	51	2	880
51295	1	7	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	5	50	3	2168
51295	1	8	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	4	50	1	1162
51295	1	9	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	4	50	1	1528
51295	1	10	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	3	49	2	926
51295	1	11	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	5	49	2	1778
51295	1	12	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	5	51	1	1381
51295	1	13	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	6	50	2	1488
51295	1	14	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	2	49	1	1376
51295	1	15	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	51	2	1338
51295	1	16	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	5	49	2	1184
51295	1	17	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	2	49	1	906
51295	1	18	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	3	50	1	1377
51295	1	19	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	5	49	2	994
51295	1	20	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	2	49	1	1957
51295	1	21	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	49	2	1626
51295	1	22	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	2	51	2	1038
51295	1	23	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	1	49	1	1493
51295	1	24	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	4	51	2	1590
51295	1	25	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	2	49	1	1673
51295	1	26	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	6	51	1	1136
51295	1	27	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	51	2	1664
51295	1	28	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	2	51	2	1485
51295	1	29	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	49	2	1046
51295	1	30	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	3	50	1	1326
51295	1	31	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	2	49	1	1275
51295	1	32	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	5	51	1	754
51295	1	33	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	2	50	3	1200
51295	1	34	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	6	51	1	1146
51295	1	35	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	5	49	2	791
51295	1	36	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	3	51	3	1145
51295	1	37	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	6	51	1	912
51295	1	38	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	6	50	2	1093
51295	1	39	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	2	49	1	949
51295	1	40	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	5	51	1	1234
51295	1	41	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	5	51	1	722
51295	1	42	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	49	1	928
51295	1	43	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	50	1	1533
51295	1	44	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	49	2	1674
51295	1	45	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	3	51	3	1082
51295	1	46	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	2	51	2	746
51295	1	47	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	1	49	1	967
51295	1	48	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	3	50	1	1746
51295	1	49	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	2	51	2	720
