username: 51604, Experiment time (minutes): 46
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,2,153,1

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51604	0	1	50	80	80	50	32	125	Com1	4	51	2	7560
51604	0	2	50	85	85	50	80	50	Att2	2	49	1	6692
51604	0	3	85	60	80	50	65	60	Fill	5	51	1	5237
51604	1	1	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	4	50	1	2905
51604	1	2	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	3	50	1	3577
51604	1	3	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	6	51	1	8333
51604	1	4	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	6	51	1	2169
51604	1	5	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	50	1	7381
51604	1	6	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	49	1	1943
51604	1	7	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	49	2	10028
51604	1	8	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	3	49	2	9087
51604	1	9	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	5	51	1	3910
51604	1	10	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	4	50	1	8669
51604	1	11	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	2	51	2	3581
51604	1	12	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	5	49	2	4038
51604	1	13	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	4	51	2	7415
51604	1	14	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	5	49	2	2106
51604	1	15	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	5	49	2	4951
51604	1	16	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	2	49	1	2132
51604	1	17	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	6	50	2	7354
51604	1	18	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	4	51	2	1567
51604	1	19	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	3	50	1	3250
51604	1	20	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	1	49	1	1786
51604	1	21	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	3	49	2	6533
51604	1	22	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	5	51	1	1018
51604	1	23	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	2	49	1	1509
51604	1	24	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	3	50	1	6074
51604	1	25	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	4	50	1	7202
51604	1	26	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	2	49	1	3309
51604	1	27	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	6	50	2	1554
51604	1	28	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	1415
51604	1	29	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	6	51	1	4025
51604	1	30	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	3	50	1	5189
51604	1	31	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	2	49	1	1455
51604	1	32	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	5	51	1	2591
51604	1	33	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	2	49	1	2538
51604	1	34	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	2	49	1	4654
51604	1	35	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	2	51	2	4767
51604	1	36	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	50	1	3818
51604	1	37	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	50	1	4228
51604	1	38	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	5	49	2	5151
51604	1	39	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	50	1	5085
51604	1	40	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	49	1	1845
51604	1	41	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	2	51	2	5780
51604	1	42	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	4	50	1	2999
51604	1	43	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	5	51	1	1882
51604	1	44	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	5586
51604	1	45	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	1	49	1	2580
51604	1	46	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	4	50	1	4895
51604	1	47	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	3	49	2	4543
51604	1	48	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	6	51	1	5181
51604	1	49	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	3	49	2	3174
51604	1	50	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	3	50	1	4826
51604	1	51	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	5	51	1	1949
51604	1	52	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	5	49	2	6097
51604	1	53	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	3	50	1	3329
51604	1	54	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	3	50	1	7255
51604	1	55	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	1	49	1	4887
51604	1	56	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	4	49	3	5887
51604	1	57	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	4	51	2	1191
51604	1	58	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	2	49	1	5282
51604	1	59	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	3	49	2	4280
51604	1	60	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	2	51	2	3761
51604	1	61	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	6	51	1	4919
51604	1	62	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	5	51	1	5933
51604	1	63	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	5	49	2	1624
51604	1	64	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	49	2	3052
