username: 51736, Experiment time (minutes): 37
Operating system: Mac OS 10.6.8
Manufacturer: Google Macintosh
Player type: PlugIn
Version: MAC 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51736	0	1	50	85	85	50	80	50	Att2	6	50	2	4067
51736	0	2	50	80	80	50	32	125	Com1	4	51	2	6731
51736	0	3	85	60	80	50	65	60	Fill	6	51	1	3323
51736	1	1	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	1	49	1	2665
51736	1	2	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	2	51	2	3531
51736	1	3	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	3	50	1	2928
51736	1	4	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	2	49	1	2685
51736	1	5	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	6	50	2	2829
51736	1	6	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	2	49	1	2129
51736	1	7	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	3	49	2	1678
51736	1	8	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	2	49	1	2637
51736	1	9	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	3	49	2	1678
51736	1	10	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	6	49	3	1957
51736	1	11	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	6	50	2	1436
51736	1	12	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	3	49	2	1907
51736	1	13	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	4	51	2	1745
51736	1	14	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	1	49	1	1109
51736	1	15	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	2	49	1	6499
51736	1	16	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	3	49	2	992
51736	1	17	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	3	49	2	1388
51736	1	18	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	4	50	1	1245
51736	1	19	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	1	50	2	1893
51736	1	20	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	2	49	1	1661
51736	1	21	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	6	50	2	1589
51736	1	22	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	5	51	1	1344
51736	1	23	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	2	49	1	2998
51736	1	24	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	1	49	1	1648
51736	1	25	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	5	49	2	8655
51736	1	26	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	3	50	1	1736
51736	1	27	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	5	49	2	933
51736	1	28	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	5	51	1	1694
51736	1	29	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	3	50	1	831
51736	1	30	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	4	50	1	2235
51736	1	31	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	5	51	1	955
51736	1	32	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	50	1	2017
51736	1	33	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	6	51	1	1579
51736	1	34	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	3	49	2	5996
51736	1	35	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	4	51	2	2856
51736	1	36	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	3	49	2	4888
51736	1	37	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	1064
51736	1	38	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	50	1	1088
51736	1	39	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	6	50	2	1415
51736	1	40	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	2	49	1	1467
51736	1	41	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	2	51	2	1355
51736	1	42	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	4	51	2	2432
51736	1	43	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	3	49	2	7024
51736	1	44	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	49	3	2489
51736	1	45	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	5	51	1	2955
51736	1	46	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	2	49	1	968
51736	1	47	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	1050
51736	1	48	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	5	49	2	1523
51736	1	49	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	2	49	1	1880
51736	1	50	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	3	49	2	3160
51736	1	51	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	5	50	3	1238
51736	1	52	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	5	51	1	2085
51736	1	53	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	1	50	2	1510
51736	1	54	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	3	49	2	1147
51736	1	55	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	1	49	1	1593
51736	1	56	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	5	49	2	1316
51736	1	57	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	1	49	1	1232
51736	1	58	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	2	49	1	960
51736	1	59	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	50	1	1086
51736	1	60	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	1	50	2	1637
51736	1	61	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	3	50	1	878
51736	1	62	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	4	50	1	5389
51736	1	63	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	1	50	2	9879
51736	1	64	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	1321
51736	1	65	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	6	51	1	3045
51736	1	66	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	2	51	2	1517
51736	1	67	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	3	49	2	842
51736	1	68	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	2	49	1	899
51736	1	69	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	3	50	1	1275
51736	1	70	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	6	51	1	995
