username: 51802, Experiment time (minutes): 23
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51802	0	1	50	85	85	50	80	50	Att2	2	51	2	4172
51802	0	2	50	80	80	50	32	125	Com1	2	51	2	6485
51802	0	3	85	60	80	50	65	60	Fill	3	50	1	13016
51802	1	1	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	4	51	2	15547
51802	1	2	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	6	50	2	1422
51802	1	3	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	1	49	1	2016
51802	1	4	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	5	51	1	1157
51802	1	5	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	3	50	1	3922
51802	1	6	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	4	50	1	2547
51802	1	7	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	5	49	2	2860
51802	1	8	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	3	49	2	5453
51802	1	9	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	2	51	2	10172
51802	1	10	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	4	51	2	2641
51802	1	11	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	3	49	2	1562
51802	1	12	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	4	50	1	1328
51802	1	13	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	5	51	1	2265
51802	1	14	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	6	50	2	1329
51802	1	15	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	5	51	1	969
51802	1	16	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	4	50	1	1172
51802	1	17	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	2	49	1	3250
51802	1	18	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	3	51	3	4172
51802	1	19	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	6	51	1	1094
51802	1	20	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	6	51	1	3453
51802	1	21	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	51	2	13875
51802	1	22	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	3	50	1	2094
51802	1	23	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	1	50	2	1672
51802	1	24	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	1	49	1	1172
51802	1	25	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	3	49	2	1266
