username: 51952, Experiment time (minutes): 27
Operating system: Windows 7
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
51952	0	1	85	60	80	50	65	60	Fill	3	50	1	4892
51952	0	2	50	80	80	50	32	125	Com1	3	50	1	2430
51952	0	3	50	85	85	50	80	50	Att2	2	49	1	2884
51952	1	1	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	6	51	1	3599
51952	1	2	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	4	50	1	1035
51952	1	3	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	5	49	2	859
51952	1	4	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	2	49	1	1230
51952	1	5	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	1	50	2	1724
51952	1	6	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	5	49	2	900
51952	1	7	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	4	51	2	1259
51952	1	8	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	5	49	2	1874
51952	1	9	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	49	1	828
51952	1	10	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	51	1	907
51952	1	11	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	4	50	1	709
51952	1	12	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	51	1	815
51952	1	13	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	50	1	1506
51952	1	14	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	4	50	1	723
51952	1	15	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	3	50	1	740
51952	1	16	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	1	51	3	1310
51952	1	17	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	4	50	1	868
51952	1	18	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	1	49	1	836
51952	1	19	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	3	50	1	757
51952	1	20	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	2	49	1	627
51952	1	21	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	5	49	2	1590
51952	1	22	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	3	50	1	736
51952	1	23	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	2	49	1	594
51952	1	24	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	2	51	2	894
51952	1	25	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	2	49	1	597
51952	1	26	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	4	50	1	642
51952	1	27	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	4	50	1	701
51952	1	28	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	2	51	2	1070
51952	1	29	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	50	1	709
51952	1	30	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	5	51	1	927
51952	1	31	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	6	50	2	587
51952	1	32	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	5	51	1	643
51952	1	33	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	6	50	2	785
51952	1	34	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	1	50	2	903
51952	1	35	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	6	51	1	858
51952	1	36	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	6	51	1	903
51952	1	37	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	2	49	1	578
51952	1	38	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	5	51	1	639
51952	1	39	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	3	50	1	672
51952	1	40	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	544
51952	1	41	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	4	50	1	618
51952	1	42	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	5	51	1	714
51952	1	43	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	6	50	2	663
51952	1	44	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	49	2	614
51952	1	45	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	2	51	2	640
51952	1	46	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	2	49	1	566
51952	1	47	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	5	51	1	755
51952	1	48	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	692
51952	1	49	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	3	50	1	507
