username: 52300, Experiment time (minutes): 20
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,1,82,76

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52300	0	1	50	85	85	50	80	50	Att2	5	49	2	2855
52300	0	2	50	80	80	50	32	125	Com1	2	51	2	2340
52300	0	3	85	60	80	50	65	60	Fill	1	49	1	1529
52300	1	1	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	6	51	1	2512
52300	1	2	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	2	51	2	1482
52300	1	3	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	2	49	1	983
52300	1	4	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	6	50	2	686
52300	1	5	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	1	49	1	998
52300	1	6	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	3	50	1	936
52300	1	7	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	2	51	2	921
52300	1	8	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	49	1	717
52300	1	9	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	2	49	1	843
52300	1	10	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	5	51	1	2137
52300	1	11	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	1	49	1	795
52300	1	12	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	4	51	2	780
52300	1	13	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	3	49	2	1576
52300	1	14	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	1	49	1	1185
52300	1	15	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	6	51	1	3604
52300	1	16	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	6	50	2	952
52300	1	17	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	4	51	2	2527
52300	1	18	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	5	51	1	1576
52300	1	19	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	3	49	2	1888
52300	1	20	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	3	49	2	1685
52300	1	21	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	2	49	1	1545
52300	1	22	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	4	51	2	983
52300	1	23	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	3	50	1	1357
52300	1	24	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	50	1	749
52300	1	25	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	3	49	2	1606
52300	1	26	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	51	2	983
52300	1	27	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	3	49	2	858
52300	1	28	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	49	2	2059
52300	1	29	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	5	49	2	1123
52300	1	30	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	3	49	2	687
52300	1	31	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	2	49	1	1201
52300	1	32	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	2	51	2	1123
