username: 52306, Experiment time (minutes): 22
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52306	0	1	50	85	85	50	80	50	Att2	5	51	1	4649
52306	0	2	85	60	80	50	65	60	Fill	5	51	1	1529
52306	0	3	50	80	80	50	32	125	Com1	4	50	1	4571
52306	1	1	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	1	49	1	1653
52306	1	2	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	5	51	1	1731
52306	1	3	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	4	50	1	1419
52306	1	4	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	4	50	1	1108
52306	1	5	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	4	51	2	2013
52306	1	6	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	2	49	1	1981
52306	1	7	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	2	49	1	671
52306	1	8	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	2	50	3	1498
52306	1	9	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	5	49	2	1170
52306	1	10	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	2	49	1	1295
52306	1	11	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	3	49	2	1092
52306	1	12	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	3	50	1	1014
52306	1	13	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	4	50	1	967
52306	1	14	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	4	50	1	1482
52306	1	15	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	1	49	1	936
52306	1	16	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	4	49	3	733
52306	1	17	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	50	1	1030
52306	1	18	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	3	50	1	593
52306	1	19	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	6	50	2	842
52306	1	20	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	2	51	2	1654
52306	1	21	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	3	50	1	1388
52306	1	22	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	4	50	1	702
52306	1	23	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	3	50	1	858
52306	1	24	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	3	49	2	920
52306	1	25	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	2	49	1	686
52306	1	26	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	2	49	1	1372
52306	1	27	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	2	51	2	920
52306	1	28	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	2	49	1	655
52306	1	29	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	3	50	1	640
52306	1	30	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	2	49	1	1014
52306	1	31	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	4	49	3	811
52306	1	32	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	6	51	1	827
52306	1	33	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	5	51	1	983
52306	1	34	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	1	49	1	670
52306	1	35	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	1	49	1	686
52306	1	36	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	5	51	1	749
52306	1	37	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	5	49	2	733
52306	1	38	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	51	3	577
52306	1	39	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	50	3	499
52306	1	40	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	5	49	2	546
52306	1	41	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	2	49	1	733
52306	1	42	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	1	51	3	920
52306	1	43	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	2	49	1	468
52306	1	44	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	2	51	2	592
52306	1	45	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	6	50	2	624
52306	1	46	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	2	49	1	452
52306	1	47	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	5	51	1	546
52306	1	48	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	4	51	2	624
52306	1	49	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	2	51	2	624
52306	1	50	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	6	51	1	718
52306	1	51	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	51	3	546
52306	1	52	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	5	50	3	702
52306	1	53	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	4	50	1	530
52306	1	54	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	3	50	1	561
52306	1	55	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	4	51	2	1201
52306	1	56	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	6	51	1	671
52306	1	57	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	4	50	1	999
52306	1	58	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	2	49	1	717
52306	1	59	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	2	51	2	562
52306	1	60	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	436
52306	1	61	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	4	50	1	1060
52306	1	62	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	2	49	1	562
52306	1	63	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	4	51	2	499
52306	1	64	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	2	49	1	499
52306	1	65	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	4	51	2	546
52306	1	66	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	2	49	1	577
52306	1	67	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	5	51	1	717
52306	1	68	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	3	50	1	453
52306	1	69	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	6	51	1	639
52306	1	70	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	6	51	1	733
52306	1	71	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	4	50	1	484
52306	1	72	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	5	51	1	951
52306	1	73	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	51	1	655
52306	1	74	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	50	3	609
52306	1	75	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	2	49	1	562
52306	1	76	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	1	50	2	1123
52306	1	77	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	2	49	1	592
52306	1	78	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	3	51	3	609
52306	1	79	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	4	50	1	390
52306	1	80	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	1	49	1	468
52306	2	1	50.000	  80.000	  80.000	  50.000	  42.000	  80.000	AttR1	5	50	3	2418
52306	2	2	49.000	  80.000	  79.000	  49.620	  47.108	  75.000	AttRF1	3	49	2	546
52306	2	3	50.000	  80.000	  87.000	  59.000	  66.000	  58.000	Fill	3	51	3	374
52306	2	4	61.000	  86.000	  81.000	  47.000	  60.000	  67.000	Fill	5	50	3	343
52306	2	5	48.000	  79.000	  79.000	  48.000	  70.000	  48.000	AttF2	4	49	3	343
52306	2	6	57.000	  86.000	  81.000	  50.000	  60.000	  68.000	Fill	5	50	3	297
52306	2	7	60.000	  84.000	  80.000	  51.000	  60.000	  69.000	Fill	4	51	2	219
52306	2	8	49.000	  78.000	  77.000	  49.636	  49.000	  69.000	AttF1	4	50	1	280
52306	2	9	50.000	  80.000	  86.000	  60.000	  67.000	  59.000	Fill	2	50	3	468
52306	2	10	50.000	  80.000	  81.000	  49.383	  81.000	  41.383	AttR2	3	51	3	281
52306	2	11	49.000	  78.000	  79.000	  48.380	  49.000	  69.000	AttF1	5	50	3	249
52306	2	12	50.000	  80.000	  81.000	  49.383	  76.000	  47.500	AttRF2	6	49	3	156
52306	2	13	50.000	  80.000	  78.000	  51.282	  71.000	  51.282	AttF2	5	50	3	109
52306	2	14	52.000	  80.000	  79.000	  52.658	  79.000	  43.658	AttR2	6	51	1	78
52306	2	15	51.000	  82.000	  84.000	  60.000	  69.000	  60.000	Fill	4	50	1	531
52306	2	16	49.000	  80.000	  79.000	  49.620	  74.000	  45.325	AttRF2	6	49	3	234
52306	2	17	52.000	  82.000	  81.000	  52.642	  81.000	  44.642	AttR2	4	50	1	32
52306	2	18	49.000	  78.000	  79.000	  48.380	  70.000	  48.380	AttF2	6	50	2	141
52306	2	19	52.000	  80.000	  79.000	  52.658	  70.000	  52.658	AttF2	5	51	1	187
52306	2	20	59.000	  85.000	  80.000	  50.000	  60.000	  68.000	Fill	4	51	2	219
52306	2	21	50.000	  78.000	  84.000	  60.000	  67.000	  57.000	Fill	2	50	3	234
52306	2	22	50.000	  82.000	  84.000	  60.000	  68.000	  58.000	Fill	5	50	3	218
52306	2	23	49.000	  78.000	  79.000	  48.380	  45.318	  74.000	AttRF1	4	49	3	203
52306	2	24	52.000	  80.000	  79.000	  52.658	  44.000	  80.000	AttR1	4	50	1	172
52306	2	25	49.000	  80.000	  79.000	  49.620	  41.000	  80.000	AttR1	1	51	3	172
52306	2	26	50.000	  80.000	  78.000	  51.282	  78.000	  44.282	AttR2	3	50	1	125
52306	2	27	49.000	  78.000	  77.000	  49.636	  41.000	  78.000	AttR1	3	50	1	94
52306	2	28	50.000	  80.000	  81.000	  49.383	  50.000	  71.000	AttF1	6	50	2	172
52306	2	29	50.000	  80.000	  81.000	  49.383	  41.000	  80.000	AttR1	4	50	1	140
52306	2	30	50.000	  80.000	  78.000	  51.282	  41.000	  80.000	AttR1	1	51	3	188
52306	2	31	50.000	  80.000	  78.000	  51.282	  50.000	  73.000	AttF1	4	49	3	234
52306	2	32	48.000	  79.000	  79.000	  48.000	  79.000	  40.000	AttR2	1	49	1	141
52306	2	33	49.000	  78.000	  79.000	  48.380	  75.000	  47.115	AttRF2	2	49	1	94
52306	2	34	51.000	  79.000	  85.000	  59.000	  68.000	  60.000	Fill	1	50	2	328
52306	2	35	52.000	  80.000	  79.000	  52.658	  74.000	  48.100	AttRF2	4	51	2	78
52306	2	36	48.000	  79.000	  79.000	  48.000	  44.962	  74.000	AttRF1	3	49	2	62
52306	2	37	49.000	  83.000	  85.000	  60.000	  70.000	  59.000	Fill	3	50	1	78
52306	2	38	50.000	  80.000	  81.000	  49.383	  45.725	  75.000	AttRF1	5	51	1	468
52306	2	39	52.000	  80.000	  79.000	  52.658	  52.000	  72.000	AttF1	2	49	1	390
52306	2	40	52.000	  82.000	  81.000	  52.642	  72.000	  52.642	AttF2	5	50	3	78
52306	2	41	52.000	  82.000	  81.000	  52.642	  77.000	  48.829	AttRF2	1	50	2	0
52306	2	42	50.000	  80.000	  78.000	  51.282	  49.967	  76.000	AttRF1	3	51	3	93
52306	2	43	60.000	  86.000	  78.000	  51.000	  62.000	  67.000	Fill	5	49	2	406
52306	2	44	52.000	  82.000	  81.000	  52.642	  50.042	  77.000	AttRF1	3	50	1	453
52306	2	45	49.000	  78.000	  79.000	  48.380	  42.000	  78.000	AttR1	1	51	3	63
52306	2	46	48.000	  79.000	  79.000	  48.000	  48.000	  72.000	AttF1	6	49	3	406
52306	2	47	49.000	  82.000	  80.000	  50.225	  80.000	  42.225	AttR2	4	49	3	281
52306	2	48	50.000	  80.000	  80.000	  50.000	  73.000	  50.000	AttF2	3	50	1	171
52306	2	49	49.000	  78.000	  77.000	  49.636	  77.000	  41.636	AttR2	2	50	3	218
52306	2	50	49.000	  78.000	  77.000	  49.636	  47.058	  73.000	AttRF1	3	51	3	187
52306	2	51	52.000	  82.000	  81.000	  52.642	  52.000	  75.000	AttF1	3	49	2	140
52306	2	52	49.000	  78.000	  85.000	  60.000	  69.000	  59.000	Fill	3	50	1	218
52306	2	53	49.000	  80.000	  79.000	  49.620	  79.000	  40.620	AttR2	5	51	1	187
52306	2	54	50.000	  80.000	  80.000	  50.000	  80.000	  41.000	AttR2	3	51	3	187
52306	2	55	50.000	  80.000	  80.000	  50.000	  76.000	  47.500	AttRF2	5	50	3	94
52306	2	56	51.000	  77.000	  85.000	  60.000	  68.000	  61.000	Fill	1	49	1	124
52306	2	57	61.000	  82.000	  80.000	  53.000	  58.000	  67.000	Fill	3	50	1	141
52306	2	58	49.000	  82.000	  80.000	  50.225	  48.342	  77.000	AttRF1	2	51	2	172
52306	2	59	49.000	  80.000	  79.000	  49.620	  70.000	  49.620	AttF2	6	50	2	47
52306	2	60	61.000	  83.000	  79.000	  50.000	  60.000	  66.000	Fill	5	50	3	125
52306	2	61	57.000	  86.000	  76.000	  51.000	  56.000	  67.000	Fill	3	50	1	265
52306	2	62	49.000	  79.000	  84.000	  58.000	  68.000	  61.000	Fill	6	50	2	265
52306	2	63	50.000	  80.000	  81.000	  49.383	  73.000	  49.383	AttF2	2	50	3	249
52306	2	64	52.000	  80.000	  79.000	  52.658	  50.659	  76.000	AttRF1	1	49	1	234
52306	2	65	59.000	  84.000	  82.000	  49.000	  62.000	  68.000	Fill	4	50	1	265
52306	2	66	49.000	  78.000	  77.000	  49.636	  69.000	  49.636	AttF2	3	51	3	156
52306	2	67	49.000	  78.000	  79.000	  48.380	  79.000	  41.380	AttR2	2	51	2	281
52306	2	68	49.000	  80.000	  79.000	  49.620	  49.000	  72.000	AttF1	2	50	3	234
52306	2	69	49.000	  82.000	  80.000	  50.225	  76.000	  45.415	AttRF2	2	49	1	125
52306	2	70	49.000	  82.000	  80.000	  50.225	  49.000	  75.000	AttF1	3	50	1	203
52306	2	71	49.000	  78.000	  77.000	  49.636	  72.000	  45.231	AttRF2	3	51	3	250
52306	2	72	50.000	  80.000	  80.000	  50.000	  50.000	  71.000	AttF1	2	50	3	110
52306	2	73	61.000	  85.000	  80.000	  49.000	  59.000	  67.000	Fill	3	49	2	124
52306	2	74	52.000	  82.000	  81.000	  52.642	  43.000	  82.000	AttR1	1	50	2	297
52306	2	75	48.000	  79.000	  79.000	  48.000	  74.000	  44.962	AttRF2	2	50	3	125
52306	2	76	48.000	  79.000	  79.000	  48.000	  41.000	  79.000	AttR1	5	51	1	219
52306	2	77	49.000	  82.000	  80.000	  50.225	  71.000	  50.225	AttF2	5	51	1	375
52306	2	78	50.000	  80.000	  80.000	  50.000	  46.875	  75.000	AttRF1	2	50	3	110
52306	2	79	50.000	  80.000	  78.000	  51.282	  74.000	  46.250	AttRF2	4	49	3	94
52306	2	80	49.000	  82.000	  80.000	  50.225	  40.000	  82.000	AttR1	3	50	1	62
52306	3	1	50.000	  81.000	  82.000	  49.390	  42.000	  81.000	AttR1	2	50	3	577
52306	3	2	51.000	  77.000	  76.000	  51.671	  71.000	  47.026	AttRF2	6	49	3	62
52306	3	3	48.000	  79.000	  78.000	  48.615	  46.122	  74.000	AttRF1	5	51	1	437
52306	3	4	50.000	  83.000	  85.000	  48.824	  76.000	  48.824	AttF2	4	51	2	47
52306	3	5	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	1	50	2	375
52306	3	6	50.000	  81.000	  82.000	  49.390	  50.000	  73.000	AttF1	5	50	3	0
52306	3	7	53.000	  79.000	  84.000	  57.000	  68.000	  60.000	Fill	5	50	3	468
52306	3	8	51.000	  77.000	  76.000	  51.671	  48.952	  72.000	AttRF1	3	51	3	250
52306	3	9	50.000	  83.000	  85.000	  48.824	  50.000	  76.000	AttF1	4	51	2	62
52306	3	10	49.000	  81.000	  82.000	  48.402	  82.000	  40.402	AttR2	4	49	3	421
52306	3	11	49.000	  81.000	  82.000	  48.402	  78.000	  47.185	AttRF2	4	49	3	0
52306	3	12	50.000	  83.000	  85.000	  48.824	  42.000	  83.000	AttR1	3	50	1	437
52306	3	13	50.000	  81.000	  79.000	  51.266	  79.000	  42.266	AttR2	2	51	2	203
52306	3	14	50.000	  82.000	  86.000	  60.000	  69.000	  59.000	Fill	5	50	3	140
52306	3	15	50.000	  81.000	  85.000	  59.000	  66.000	  57.000	Fill	6	49	3	62
52306	3	16	50.000	  80.000	  87.000	  59.000	  68.000	  59.000	Fill	3	49	2	62
52306	3	17	53.000	  78.000	  76.000	  54.395	  52.248	  73.000	AttRF1	1	49	1	78
52306	3	18	50.000	  80.000	  81.000	  49.383	  43.000	  80.000	AttR1	4	49	3	78
52306	3	19	59.000	  86.000	  81.000	  53.000	  60.000	  68.000	Fill	2	50	3	577
52306	3	20	48.000	  80.000	  87.000	  58.000	  69.000	  60.000	Fill	1	49	1	94
52306	3	21	50.000	  80.000	  81.000	  49.383	  74.000	  49.383	AttF2	3	50	1	406
52306	3	22	50.000	  80.000	  81.000	  49.383	  76.000	  47.500	AttRF2	4	49	3	655
52306	3	23	50.000	  83.000	  85.000	  48.824	  81.000	  48.795	AttRF2	3	51	3	406
52306	3	24	50.000	  78.000	  86.000	  58.000	  67.000	  59.000	Fill	6	51	1	312
52306	3	25	50.000	  78.000	  80.000	  48.750	  44.484	  73.000	AttRF1	2	50	3	219
52306	3	26	50.000	  81.000	  82.000	  49.390	  74.000	  49.390	AttF2	2	49	1	171
52306	3	27	50.000	  78.000	  80.000	  48.750	  75.000	  48.077	AttRF2	2	49	1	296
52306	3	28	49.000	  79.000	  87.000	  61.000	  68.000	  60.000	Fill	4	51	2	484
