username: 52360, Experiment time (minutes): 25
Operating system: Mac OS 10.6.6
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52360	0	1	50	80	80	50	32	125	Com1	4	49	3	3180
52360	0	2	85	60	80	50	65	60	Fill	5	51	1	2472
52360	0	3	50	85	85	50	80	50	Att2	5	49	2	3169
52360	1	1	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	2	49	1	1672
52360	1	2	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	3	49	2	3060
52360	1	3	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	2	51	2	3771
52360	1	4	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	2	49	1	6933
52360	1	5	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	51	3	1637
52360	1	6	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	5	49	2	843
52360	1	7	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	2	49	1	1149
52360	1	8	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	6	50	2	427
52360	1	9	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	2	50	3	365
52360	1	10	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	5	51	1	273
52360	1	11	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	4	49	3	402
52360	1	12	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	1	50	2	309
52360	1	13	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	3	49	2	3345
52360	1	14	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	4	50	1	511
52360	1	15	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	2	51	2	3156
52360	1	16	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	2	49	1	6241
