username: 52372, Experiment time (minutes): 33
Operating system: Windows 7
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 10,3,183,7

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52372	0	1	85	60	80	50	65	60	Fill	1	49	1	6868
52372	0	2	50	85	85	50	80	50	Att2	1	50	2	4733
52372	0	3	50	80	80	50	32	125	Com1	4	49	3	9121
52372	1	1	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	4613
52372	1	2	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	4	50	1	3000
52372	1	3	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	4	50	1	1686
52372	1	4	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	3	49	2	2954
52372	1	5	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	1	50	2	2594
52372	1	6	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	3	49	2	4051
52372	1	7	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	2	51	2	3633
52372	1	8	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	6	50	2	2894
52372	1	9	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	2	49	1	7391
52372	1	10	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	4	51	2	3632
52372	1	11	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	3	50	1	2918
52372	1	12	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	3	49	2	2365
52372	1	13	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	4	50	1	2547
52372	1	14	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	2	49	1	2258
52372	1	15	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	2	50	3	8840
52372	1	16	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	2	51	2	5052
52372	1	17	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	3	49	2	5050
52372	1	18	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	3	49	2	2219
52372	1	19	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	4	51	2	4263
52372	1	20	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	3	49	2	1522
52372	1	21	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	2	51	2	6665
52372	1	22	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	5	49	2	2802
52372	1	23	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	5	51	1	4109
52372	1	24	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	1	50	2	4387
52372	1	25	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	4	51	2	1794
52372	1	26	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	4	51	2	2685
52372	1	27	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	5	49	2	4102
52372	1	28	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	49	2	5162
52372	1	29	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	4	51	2	3816
52372	1	30	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	3	49	2	2668
52372	1	31	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	6	50	2	1386
52372	1	32	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	1	50	2	2253
52372	1	33	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	3	49	2	1851
52372	1	34	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	6	50	2	1246
52372	1	35	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	6	51	1	1869
