username: 52483, Experiment time (minutes): 21
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52483	0	1	85	60	80	50	65	60	Fill	2	49	1	2324
52483	0	2	50	80	80	50	32	125	Com1	4	49	3	1375
52483	0	3	50	85	85	50	80	50	Att2	2	51	2	1661
52483	1	1	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	4	51	2	975
52483	1	2	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	4	50	1	1255
52483	1	3	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	4	50	1	748
52483	1	4	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	5	51	1	1982
52483	1	5	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	2	49	1	655
52483	1	6	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	4	50	1	1093
52483	1	7	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	6	50	2	843
52483	1	8	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	6	51	1	949
52483	1	9	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	3	49	2	910
52483	1	10	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	3	50	1	1290
52483	1	11	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	51	2	1005
52483	1	12	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	5	49	2	663
52483	1	13	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	752
52483	1	14	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	6	51	1	1408
52483	1	15	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	3	50	1	841
52483	1	16	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	5	51	1	832
52483	1	17	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	4	50	1	780
52483	1	18	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	2	49	1	702
52483	1	19	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	51	1	986
52483	1	20	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	50	1	647
52483	1	21	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	5	49	2	2285
52483	1	22	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	1	49	1	997
