username: 52498, Experiment time (minutes): 33
Operating system: Windows Vista
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52498	0	1	85	60	80	50	65	60	Fill	3	50	1	1651
52498	0	2	50	85	85	50	80	50	Att2	4	51	2	1472
52498	0	3	50	80	80	50	32	125	Com1	6	51	1	1485
52498	1	1	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	6	51	1	2175
52498	1	2	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	5	49	2	750
52498	1	3	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	4	50	1	791
52498	1	4	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	6	51	1	841
52498	1	5	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	6	50	2	2263
52498	1	6	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	6	50	2	2041
52498	1	7	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	4	50	1	2446
52498	1	8	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	4	51	2	1183
52498	1	9	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	5	49	2	1309
52498	1	10	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	2	49	1	910
52498	1	11	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	4	50	1	1486
52498	1	12	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	6	51	1	969
52498	1	13	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	6	51	1	768
52498	1	14	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	1	49	1	1631
52498	1	15	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	1	50	2	1437
52498	1	16	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	3	50	1	712
