username: 52510, Experiment time (minutes): 33
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,3,183,7

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52510	0	1	50	85	85	50	80	50	Att2	4	49	3	6103
52510	0	2	50	80	80	50	32	125	Com1	6	49	3	3961
52510	0	3	85	60	80	50	65	60	Fill	2	50	3	3655
52510	1	1	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	5	49	2	1935
52510	1	2	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	2	50	3	2723
52510	1	3	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	1	50	2	5832
52510	1	4	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	6	50	2	4211
52510	1	5	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	6	50	2	2828
52510	1	6	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	4	50	1	2120
52510	1	7	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	4	50	1	5900
52510	1	8	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	50	1	1738
52510	1	9	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	5	51	1	1664
52510	1	10	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	943
52510	1	11	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	6	50	2	4580
52510	1	12	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	3	50	1	3296
52510	1	13	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	1	49	1	1119
52510	1	14	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	5	51	1	3316
52510	1	15	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	6	50	2	8282
52510	1	16	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	4	50	1	2034
52510	1	17	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	50	1	3915
52510	1	18	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	5	49	2	1504
52510	1	19	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	2	51	2	3773
52510	1	20	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	1	50	2	2304
52510	1	21	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	3	50	1	1189
52510	1	22	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	1	49	1	1880
52510	1	23	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	6	51	1	4144
52510	1	24	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	3	49	2	1324
52510	1	25	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	3	50	1	2994
52510	1	26	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	50	1	2508
52510	1	27	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	1	49	1	3771
52510	1	28	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	4	51	2	2005
52510	1	29	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	4	50	1	1712
52510	1	30	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	6	51	1	3533
52510	1	31	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	5	50	3	2467
52510	1	32	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	1	49	1	1946
52510	1	33	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	2	50	3	2159
52510	1	34	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	1	50	2	1677
52510	1	35	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	5	49	2	4893
52510	1	36	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	4	51	2	4597
52510	1	37	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	2623
52510	1	38	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	4	51	2	3883
52510	1	39	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	3	49	2	1163
52510	1	40	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	3	49	2	1280
52510	1	41	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	3	50	1	1584
52510	1	42	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	4	51	2	1467
52510	1	43	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	5	51	1	1205
52510	1	44	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	1	49	1	1101
52510	1	45	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	1	49	1	1019
52510	1	46	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	3	50	1	1133
52510	1	47	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	2	49	1	1427
52510	1	48	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	3	50	1	2493
52510	1	49	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	5	51	1	1989
52510	1	50	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	4	51	2	1575
52510	1	51	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	5	49	2	987
52510	1	52	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	6	51	1	1349
52510	1	53	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	6	51	1	1107
52510	1	54	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	49	2	1160
52510	1	55	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	1037
52510	1	56	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	5	51	1	1117
52510	1	57	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	4	50	1	931
52510	1	58	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	2	49	1	1087
52510	1	59	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	4	50	1	737
52510	1	60	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	6	49	3	725
52510	1	61	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	5	49	2	1155
52510	1	62	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	1	49	1	3440
52510	1	63	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	1	50	2	6288
52510	1	64	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	4	50	1	1127
52510	1	65	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	1	51	3	1148
52510	1	66	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	4	51	2	2194
52510	1	67	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	3	50	1	1437
52510	1	68	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	4	50	1	1205
52510	1	69	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	5	51	1	2864
52510	1	70	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	1	49	1	1296
52510	1	71	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	4	51	2	1231
52510	1	72	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	5	51	1	699
52510	1	73	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	6	50	2	1218
52510	1	74	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	4	50	1	1285
