username: 52561, Experiment time (minutes): 38
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52561	0	1	85	60	80	50	65	60	Fill	3	50	1	10532
52561	0	2	50	80	80	50	32	125	Com1	4	51	2	4672
52561	0	3	50	85	85	50	80	50	Att2	6	51	1	8468
52561	1	1	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	4	50	1	6014
52561	1	2	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	5	51	1	1800
52561	1	3	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	51	2	5373
52561	1	4	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	2856
52561	1	5	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	4	49	3	6878
52561	1	6	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	49	2	2558
52561	1	7	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	1	50	2	6084
52561	1	8	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	6	51	1	6872
52561	1	9	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	4	51	2	2534
52561	1	10	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	49	2	2733
52561	1	11	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	2	51	2	4264
52561	1	12	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	51	2	2013
52561	1	13	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	6	50	2	6431
52561	1	14	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	4	50	1	4275
52561	1	15	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	3	49	2	3413
52561	1	16	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	6	50	2	1688
52561	1	17	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	5103
52561	1	18	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	3	51	3	6298
52561	1	19	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	5	49	2	3584
52561	1	20	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	4	51	2	3101
52561	1	21	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	49	1	3844
52561	1	22	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	4	51	2	1306
52561	1	23	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	3	49	2	3814
52561	1	24	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	3	49	2	1541
52561	1	25	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	51	2	2403
52561	1	26	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	2	49	1	3428
52561	1	27	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	3	51	3	1898
52561	1	28	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	5	49	2	1258
52561	1	29	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	4	50	1	5892
52561	1	30	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	3	49	2	5972
52561	1	31	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	6	50	2	7035
52561	1	32	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	50	1	3750
52561	1	33	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	2	49	1	2782
52561	1	34	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	2	49	1	3520
52561	1	35	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	2	51	2	1301
52561	1	36	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	4	51	2	708
52561	1	37	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	4	51	2	5064
52561	1	38	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	49	1	14682
52561	1	39	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	4	50	1	1484
52561	1	40	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	5	51	1	7478
52561	1	41	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	4	50	1	2322
52561	1	42	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	2	51	2	3787
52561	1	43	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	3	49	2	1185
52561	1	44	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	6	50	2	2157
52561	1	45	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	5	51	1	1567
52561	1	46	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	2	49	1	1050
52561	1	47	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	3	49	2	1201
52561	1	48	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	6	50	2	978
52561	1	49	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	2	51	2	1972
52561	1	50	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	1	49	1	1874
52561	1	51	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	4	51	2	959
52561	1	52	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	3	50	1	2276
