username: 52621, Experiment time (minutes): 69
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,0,32,18

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52621	0	1	50	80	80	50	32	125	Com1	2	51	2	13342
52621	0	2	85	60	80	50	65	60	Fill	5	51	1	1874
52621	0	3	50	85	85	50	80	50	Att2	1	51	3	1957
52621	1	1	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	4	51	2	1361
52621	1	2	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	5	51	1	1934
52621	1	3	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	3	51	3	1696
52621	1	4	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	4	51	2	1402
52621	1	5	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	6	50	2	889
52621	1	6	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	4	50	1	1615
52621	1	7	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	6	50	2	967
52621	1	8	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	2	49	1	1983
52621	1	9	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	2	51	2	1478
52621	1	10	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	5	51	1	1075
52621	1	11	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	2	49	1	1038
52621	1	12	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	49	2	2111
52621	1	13	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	5	51	1	1697
52621	1	14	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	3	49	2	895
52621	1	15	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	3	50	1	2933
52621	1	16	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	6	51	1	1819
52621	1	17	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	3	50	1	1674
52621	1	18	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	3	50	1	2424
52621	1	19	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	859
52621	1	20	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	6	50	2	847
52621	1	21	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	4	51	2	1047
52621	1	22	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	5	51	1	1896
52621	1	23	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	2	49	1	1325
52621	1	24	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	4	51	2	2418
52621	1	25	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	4	50	1	1017
52621	1	26	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	4	50	1	1272
52621	1	27	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	2	49	1	944
52621	1	28	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	1	49	1	1104
52621	1	29	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	50	1	1556
52621	1	30	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	4	51	2	978
52621	1	31	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	49	1	752
52621	1	32	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	5	49	2	1044
52621	1	33	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	4	51	2	937
52621	1	34	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	3	50	1	762
52621	1	35	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	5	49	2	1106
52621	1	36	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	4	51	2	1451
52621	1	37	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	6	50	2	1568
52621	1	38	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	50	1	1111
52621	1	39	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	3	49	2	1107
52621	1	40	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	1	49	1	726
52621	1	41	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	4	51	2	1963
52621	1	42	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	50	1	821
52621	1	43	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	5	51	1	1169
52621	1	44	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	1	50	2	699
52621	1	45	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	5	50	3	2739
52621	1	46	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	4	50	1	823
52621	1	47	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	1	50	2	1428
52621	1	48	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	3	49	2	1237
52621	1	49	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	988
52621	1	50	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	4	51	2	1072
52621	1	51	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	6	50	2	676
52621	1	52	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	6	51	1	859
52621	1	53	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	5	49	2	913
52621	1	54	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	6	51	1	923
52621	1	55	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	2	49	1	857
52621	1	56	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	3	49	2	844
52621	1	57	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	4	50	1	1412
52621	1	58	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	1	50	2	1285
52621	1	59	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	4	51	2	900
52621	1	60	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	4	50	1	1506
52621	1	61	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	1	49	1	927
52621	1	62	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	6	51	1	1244
52621	1	63	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	2	49	1	1326
52621	1	64	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	5	49	2	2334
52621	1	65	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	4	51	2	869
52621	1	66	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	3	50	1	825
52621	1	67	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	1	50	2	2470
52621	1	68	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	6	50	2	1138
52621	1	69	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	5	49	2	3234
52621	1	70	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	51	1	1303
52621	1	71	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	2	49	1	2687
52621	1	72	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	4	49	3	1571
52621	1	73	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	2	49	1	1290
52621	1	74	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	1	49	1	1272
52621	1	75	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	3	51	3	938
52621	1	76	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	3	49	2	691
52621	1	77	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	775
52621	1	78	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	2	49	1	632
52621	1	79	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	3	50	1	1458
52621	1	80	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	3	50	1	1184
52621	2	1	52.000	  80.000	  79.000	  52.658	  52.000	  72.000	AttF1	4	50	1	2536
52621	2	2	60.000	  86.000	  78.000	  51.000	  62.000	  67.000	Fill	5	51	1	804
52621	2	3	50.000	  80.000	  81.000	  49.383	  50.000	  71.000	AttF1	2	51	2	1646
52621	2	4	52.000	  82.000	  81.000	  52.642	  50.042	  77.000	AttRF1	5	49	2	1017
52621	2	5	52.000	  80.000	  79.000	  52.658	  79.000	  43.658	AttR2	2	51	2	1291
52621	2	6	60.000	  84.000	  80.000	  51.000	  60.000	  69.000	Fill	2	49	1	763
52621	2	7	51.000	  77.000	  85.000	  60.000	  68.000	  61.000	Fill	4	51	2	693
52621	2	8	52.000	  82.000	  81.000	  52.642	  77.000	  48.829	AttRF2	5	51	1	1254
52621	2	9	59.000	  85.000	  80.000	  50.000	  60.000	  68.000	Fill	3	50	1	710
52621	2	10	50.000	  82.000	  84.000	  60.000	  68.000	  58.000	Fill	1	50	2	748
