username: 52639, Experiment time (minutes): 35
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
52639	0	1	50	80	80	50	32	125	Com1	4	50	1	6589
52639	0	2	85	60	80	50	65	60	Fill	5	51	1	3840
52639	0	3	50	85	85	50	80	50	Att2	3	49	2	5337
52639	1	1	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	3	50	1	2664
52639	1	2	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	5	49	2	1308
52639	1	3	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	2	49	1	1314
52639	1	4	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	6	51	1	1398
52639	1	5	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	4	50	1	2417
52639	1	6	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	4	50	1	5307
52639	1	7	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	1058
52639	1	8	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	2	49	1	897
52639	1	9	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	5	51	1	1226
52639	1	10	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	2	51	2	2755
52639	1	11	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	2	49	1	1961
52639	1	12	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	2	49	1	3766
52639	1	13	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	5	51	1	1667
52639	1	14	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	4	51	2	1916
52639	1	15	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	6	50	2	1249
52639	1	16	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	2	49	1	8945
52639	1	17	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	2	49	1	2358
52639	1	18	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	4	51	2	1707
52639	1	19	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	6	50	2	2113
52639	1	20	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	3	49	2	1102
52639	1	21	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	5	49	2	2467
52639	1	22	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	2	49	1	1931
52639	1	23	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	4	51	2	600
52639	1	24	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	50	1	1851
52639	1	25	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	1	50	2	867
52639	1	26	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	4	51	2	1003
52639	1	27	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	4	50	1	742
52639	1	28	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	5	51	1	1388
52639	1	29	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	6	50	2	2797
52639	1	30	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	2	49	1	1728
52639	1	31	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	4	51	2	1038
52639	1	32	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	3	50	1	733
52639	1	33	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	4	51	2	1747
52639	1	34	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	2	51	2	5297
52639	1	35	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	49	2	3720
52639	1	36	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	4	50	1	2615
52639	1	37	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	50	1	3257
52639	1	38	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	8441
52639	1	39	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	49	2	2528
52639	1	40	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	2	49	1	662
52639	1	41	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	5	51	1	1429
52639	1	42	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	6	50	2	1234
52639	1	43	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	2	51	2	2400
52639	1	44	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	1	50	2	1292
52639	1	45	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	5	49	2	1731
52639	1	46	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	2	49	1	2984
52639	1	47	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	1659
52639	1	48	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	5	49	2	572
52639	1	49	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	6	50	2	1734
52639	1	50	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	5	49	2	1466
52639	1	51	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	5	49	2	3194
52639	1	52	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	6	50	2	1869
52639	1	53	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	1	50	2	3685
52639	1	54	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	2	51	2	1285
52639	1	55	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	5	49	2	1101
52639	1	56	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	4	51	2	651
52639	1	57	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	5	51	1	1058
52639	1	58	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	4	50	1	651
52639	1	59	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	6	50	2	547
