username: 53605, Experiment time (minutes): 39
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
53605	0	1	50	80	80	50	32	125	Com1	3	49	2	5695
53605	0	2	85	60	80	50	65	60	Fill	5	51	1	1444
53605	0	3	50	85	85	50	80	50	Att2	2	51	2	2069
53605	1	1	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	3	49	2	2450
53605	1	2	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	3	50	1	1094
53605	1	3	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	6	50	2	1749
53605	1	4	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	50	1	2617
53605	1	5	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	1	49	1	3729
53605	1	6	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	4	51	2	2053
53605	1	7	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	6	51	1	1164
53605	1	8	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	1	50	2	2936
53605	1	9	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	3	50	1	1584
53605	1	10	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	50	1	1801
53605	1	11	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	3	50	1	1308
53605	1	12	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	4	51	2	1505
53605	1	13	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	5	49	2	4416
53605	1	14	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	3	49	2	2692
53605	1	15	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	51	2	5053
53605	1	16	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	51	1	1420
53605	1	17	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	2	49	1	2124
53605	1	18	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	5	51	1	6001
53605	1	19	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	4	50	1	3100
53605	1	20	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	2	51	2	7958
53605	1	21	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	5	51	1	1860
53605	1	22	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	49	2	1619
53605	1	23	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	2	49	1	3660
53605	1	24	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	4	51	2	2229
53605	1	25	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	3	49	2	3481
53605	1	26	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	4	50	1	2041
