username: 53668, Experiment time (minutes): 34
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,0,45,2

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
53668	0	1	50	85	85	50	80	50	Att2	4	50	1	6181
53668	0	2	50	80	80	50	32	125	Com1	2	49	1	17968
53668	0	3	85	60	80	50	65	60	Fill	5	51	1	2483
53668	1	1	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	2	51	2	5297
53668	1	2	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	1	49	1	2154
53668	1	3	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	5	51	1	2929
53668	1	4	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	6	51	1	4179
53668	1	5	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	2	49	1	2635
53668	1	6	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	2	51	2	2727
53668	1	7	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	1	50	2	2331
53668	1	8	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	6	50	2	1128
53668	1	9	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	3	50	1	1920
53668	1	10	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	4	51	2	5220
53668	1	11	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	2	49	1	788
53668	1	12	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	2	51	2	4281
53668	1	13	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	4	50	1	876
53668	1	14	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	3	50	1	3292
53668	1	15	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	3	49	2	1355
53668	1	16	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	2	51	2	1066
53668	1	17	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	3	50	1	679
53668	1	18	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	2	49	1	1539
53668	1	19	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	625
53668	1	20	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	3	50	1	1289
53668	1	21	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	5	51	1	1726
53668	1	22	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	50	1	1024
53668	1	23	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	5	51	1	1187
53668	1	24	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	5	49	2	1239
53668	1	25	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	5	51	1	1350
53668	1	26	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	2	49	1	3272
53668	1	27	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	5	49	2	1913
53668	1	28	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	50	1	1404
53668	1	29	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	51	2	2402
53668	1	30	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	3	50	1	1018
53668	1	31	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	4	50	1	2975
53668	1	32	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	6	51	1	1419
53668	1	33	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	5	49	2	1371
53668	1	34	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	4	50	1	1442
53668	1	35	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	6	50	2	1790
53668	1	36	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	2	49	1	840
53668	1	37	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	1	50	2	7591
53668	1	38	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	4	51	2	1593
53668	1	39	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	51	1	3741
53668	1	40	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	5	49	2	2037
53668	1	41	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	6	51	1	2931
53668	1	42	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	5	51	1	3955
53668	1	43	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	5	51	1	1617
53668	1	44	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	4	50	1	4833
53668	1	45	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	2	51	2	2435
53668	1	46	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	1838
53668	1	47	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	6	50	2	2487
53668	1	48	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	3	49	2	2263
53668	1	49	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	49	2	2701
53668	1	50	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	3	50	1	1233
53668	1	51	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	1	49	1	3632
53668	1	52	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	5	49	2	1403
53668	1	53	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	4	50	1	1255
53668	1	54	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	4	51	2	2437
53668	1	55	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	5	51	1	2578
53668	1	56	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	2	51	2	819
53668	1	57	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	5	49	2	1857
53668	1	58	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	1	50	2	862
53668	1	59	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	3	50	1	1306
53668	1	60	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	2	51	2	916
53668	1	61	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	6	51	1	4358
53668	1	62	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	2	49	1	800
53668	1	63	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	4	50	1	1243
53668	1	64	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	770
