username: 53683, Experiment time (minutes): 28
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,0,45,2

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
53683	0	1	85	60	80	50	65	60	Fill	2	49	1	1804
53683	0	2	50	85	85	50	80	50	Att2	4	50	1	1357
53683	0	3	50	80	80	50	32	125	Com1	5	51	1	851
53683	1	1	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	4	50	1	1386
53683	1	2	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	6	51	1	1192
53683	1	3	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	50	1	972
53683	1	4	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	5	49	2	1055
53683	1	5	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	3	50	1	668
53683	1	6	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	50	1	945
53683	1	7	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	2	49	1	925
53683	1	8	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	4	50	1	585
53683	1	9	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	1	49	1	739
53683	1	10	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	5	51	1	686
53683	1	11	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	6	51	1	764
53683	1	12	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	2	49	1	837
53683	1	13	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	51	1	760
53683	1	14	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	6	51	1	951
53683	1	15	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	3	49	2	1574
53683	1	16	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	1	50	2	519
53683	1	17	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	1	49	1	1566
53683	1	18	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	5	51	1	665
53683	1	19	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	5	51	1	595
53683	1	20	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	5	51	1	859
53683	1	21	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	5	51	1	593
53683	1	22	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	1	49	1	1177
53683	1	23	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	1	50	2	1702
53683	1	24	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	6	50	2	773
53683	1	25	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	1	50	2	1155
53683	1	26	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	1	49	1	1313
53683	1	27	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	2	51	2	1389
53683	1	28	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	1	49	1	789
53683	1	29	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	1	49	1	832
53683	1	30	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	3	49	2	1184
53683	1	31	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	2	51	2	817
53683	1	32	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	3	50	1	2228
53683	1	33	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	2	49	1	981
53683	1	34	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	6	51	1	667
53683	1	35	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	3	49	2	676
53683	1	36	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	3	50	1	882
53683	1	37	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	2	51	2	586
53683	1	38	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	4	50	1	693
53683	1	39	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	6	51	1	734
53683	1	40	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	4	50	1	880
53683	1	41	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	4	51	2	499
53683	1	42	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	2	49	1	814
53683	1	43	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	2	49	1	928
53683	1	44	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	5	51	1	567
53683	1	45	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	2	51	2	588
53683	1	46	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	4	50	1	603
53683	1	47	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	1	50	2	543
53683	1	48	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	5	51	1	877
53683	1	49	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	2	49	1	678
53683	1	50	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	3	49	2	887
53683	1	51	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	2	49	1	814
53683	1	52	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	50	1	589
53683	1	53	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	3	50	1	553
53683	1	54	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	4	50	1	497
53683	1	55	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	2	49	1	1122
53683	1	56	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	1	50	2	1670
53683	1	57	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	630
53683	1	58	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	5	50	3	999
53683	1	59	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	1	49	1	1163
53683	1	60	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	2	49	1	748
53683	1	61	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	3	49	2	803
53683	1	62	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	5	51	1	565
53683	1	63	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	4	51	2	477
53683	1	64	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	4	50	1	1031
53683	1	65	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	5	51	1	1398
53683	1	66	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	3	50	1	683
53683	1	67	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	6	51	1	632
53683	1	68	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	1	49	1	820
53683	1	69	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	533
53683	1	70	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	3	50	1	957
53683	1	71	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	5	51	1	757
53683	1	72	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	5	49	2	3011
53683	1	73	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	2	49	1	3916
53683	1	74	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	4	50	1	818
53683	1	75	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	2	49	1	869
53683	1	76	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	3	50	1	740
53683	1	77	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	5	49	2	669
53683	1	78	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	2	49	1	997
53683	1	79	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	4	50	1	994
53683	1	80	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	2	49	1	996
53683	2	1	61.000	  86.000	  81.000	  47.000	  60.000	  67.000	Fill	1	49	1	1153
53683	2	2	52.000	  80.000	  79.000	  52.658	  79.000	  43.658	AttR2	1	175	0	418
53683	2	3	49.000	  79.000	  84.000	  58.000	  68.000	  61.000	Fill	5	49	2	1098
53683	2	4	61.000	  85.000	  80.000	  49.000	  59.000	  67.000	Fill	2	49	1	700
53683	2	5	50.000	  80.000	  78.000	  51.282	  50.000	  73.000	AttF1	5	51	1	1162
53683	2	6	49.000	  78.000	  79.000	  48.380	  49.000	  69.000	AttF1	1	49	1	949
53683	2	7	49.000	  80.000	  79.000	  49.620	  74.000	  45.325	AttRF2	1	49	1	539
53683	2	8	60.000	  84.000	  80.000	  51.000	  60.000	  69.000	Fill	1	49	1	578
53683	2	9	51.000	  77.000	  85.000	  60.000	  68.000	  61.000	Fill	6	50	2	482
53683	2	10	48.000	  79.000	  79.000	  48.000	  74.000	  44.962	AttRF2	3	50	1	621
53683	2	11	48.000	  79.000	  79.000	  48.000	  48.000	  72.000	AttF1	5	51	1	639
53683	2	12	57.000	  86.000	  76.000	  51.000	  56.000	  67.000	Fill	4	50	1	468
53683	2	13	49.000	  78.000	  77.000	  49.636	  49.000	  69.000	AttF1	3	50	1	500
53683	2	14	51.000	  82.000	  84.000	  60.000	  69.000	  60.000	Fill	5	49	2	775
