username: 53827, Experiment time (minutes): 35
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
53827	0	1	50	85	85	50	80	50	Att2	3	49	2	7476
53827	0	2	50	80	80	50	32	125	Com1	2	46	0	48
53827	0	3	85	60	80	50	65	60	Fill	6	107	0	1914
53827	1	1	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	1	34	0	1670
53827	1	2	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	5	50	3	5522
53827	1	3	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	51	1	1476
53827	1	4	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	6	49	3	1767
53827	1	5	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	3	49	2	1661
53827	1	6	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	3	49	2	755
53827	1	7	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	3	50	1	1398
53827	1	8	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	49	2	9036
53827	1	9	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	2	49	1	1613
53827	1	10	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	4	50	1	1019
53827	1	11	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	3	50	1	1581
53827	1	12	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	5	51	1	1710
53827	1	13	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	5	51	1	2041
53827	1	14	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	4	50	1	1544
53827	1	15	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	6	50	2	936
53827	1	16	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	4	50	1	1553
53827	1	17	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	832
53827	1	18	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	5	49	2	5200
