username: 53878, Experiment time (minutes): 29
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,2,152,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
53878	0	1	50	85	85	50	80	50	Att2	2	51	2	6275
53878	0	2	85	60	80	50	65	60	Fill	6	51	1	2573
53878	0	3	50	80	80	50	32	125	Com1	3	50	1	3991
53878	1	1	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	4	50	1	1481
53878	1	2	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	1	50	2	2272
53878	1	3	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	5	51	1	1544
53878	1	4	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	2	49	1	1066
53878	1	5	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	50	1	4487
53878	1	6	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	49	2	1460
53878	1	7	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	2	49	1	849
53878	1	8	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	50	1	1443
53878	1	9	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	6	51	1	2037
53878	1	10	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	5	49	2	1775
53878	1	11	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	4	51	2	1802
53878	1	12	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	4	50	1	1878
53878	1	13	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	2	51	2	2335
53878	1	14	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	4	51	2	3178
53878	1	15	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	2	49	1	1773
