username: 53908, Experiment time (minutes): 26
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
53908	0	1	50	80	80	50	32	125	Com1	1	49	1	2114
53908	0	2	85	60	80	50	65	60	Fill	1	49	1	2289
53908	0	3	50	85	85	50	80	50	Att2	3	49	2	2481
53908	1	1	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	1	50	2	1543
53908	1	2	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	2	51	2	2110
53908	1	3	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	6	50	2	922
53908	1	4	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	5	49	2	688
53908	1	5	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	4	51	2	813
53908	1	6	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	2	49	1	2223
53908	1	7	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	3	49	2	996
53908	1	8	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	3	50	1	1578
53908	1	9	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	4	50	1	1054
53908	1	10	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	50	1	2418
53908	1	11	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	1	50	2	1402
53908	1	12	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	2	51	2	1296
53908	1	13	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	5	51	1	2184
53908	1	14	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	4	50	1	1066
53908	1	15	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	5	49	2	1133
53908	1	16	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	5	51	1	1032
53908	1	17	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	6	50	2	949
53908	1	18	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	3	49	2	1536
53908	1	19	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	4	51	2	2144
53908	1	20	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	1004
53908	1	21	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	4	50	1	1336
53908	1	22	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	4	51	2	1317
53908	1	23	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	4	51	2	864
53908	1	24	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	4	51	2	2152
53908	1	25	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	2	49	1	1082
53908	1	26	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	2	51	2	1102
53908	1	27	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	4	51	2	2274
53908	1	28	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	49	2	1278
53908	1	29	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	3	49	2	2070
53908	1	30	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	6	50	2	789
53908	1	31	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	3	50	1	816
53908	1	32	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	5	49	2	820
53908	1	33	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	3	49	2	1242
53908	1	34	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	4	50	1	1153
53908	1	35	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	2	51	2	1200
53908	1	36	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	2	49	1	1203
53908	1	37	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	5	51	1	2055
53908	1	38	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	50	3	1504
53908	1	39	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	3	49	2	1024
53908	1	40	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	5	49	2	1305
53908	1	41	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	2	51	2	1101
53908	1	42	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	51	2	1843
53908	1	43	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	6	50	2	844
53908	1	44	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	2	49	1	1598
53908	1	45	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	4	51	2	1156
53908	1	46	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	2	49	1	1535
53908	1	47	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	6	50	2	2082
53908	1	48	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	1	49	1	1219
53908	1	49	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	2	49	1	2296
53908	1	50	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	5	51	1	1325
53908	1	51	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	1	49	1	1430
