username: 54136, Experiment time (minutes): 35
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54136	0	1	50	80	80	50	32	125	Com1	3	49	2	13802
54136	0	2	50	85	85	50	80	50	Att2	3	49	2	11666
54136	0	3	85	60	80	50	65	60	Fill	1	49	1	1767
54136	1	1	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	49	2	7091
54136	1	2	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	5	49	2	1812
54136	1	3	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	2	49	1	5493
54136	1	4	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	4	50	1	1059
54136	1	5	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	4	50	1	1109
54136	1	6	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	4	50	1	2297
54136	1	7	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	5	51	1	4907
54136	1	8	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	3	49	2	3425
54136	1	9	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	5	51	1	1027
54136	1	10	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	6	50	2	6158
54136	1	11	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	51	2	10091
54136	1	12	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	6	50	2	3602
54136	1	13	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	1	49	1	2232
54136	1	14	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	5	51	1	1141
54136	1	15	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	3	50	1	760
54136	1	16	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	4	50	1	2277
54136	1	17	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	3	49	2	4513
54136	1	18	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	3	49	2	5936
54136	1	19	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	4	50	1	6558
54136	1	20	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	4	51	2	6554
54136	1	21	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	4	51	2	2310
54136	1	22	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	2	49	1	919
54136	1	23	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	5	49	2	9579
54136	1	24	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	4	51	2	4811
54136	1	25	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	2	51	2	6198
54136	1	26	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	1308
54136	1	27	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	6	50	2	5771
54136	1	28	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	5	49	2	16222
54136	1	29	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	4	51	2	1486
54136	1	30	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	49	1	3200
54136	1	31	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	3	49	2	2567
54136	1	32	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	3	50	1	2611
