username: 54817, Experiment time (minutes): 18
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54817	0	1	50	80	80	50	32	125	Com1	4	51	2	5995
54817	0	2	50	85	85	50	80	50	Att2	4	51	2	2697
54817	0	3	85	60	80	50	65	60	Fill	3	50	1	1304
54817	1	1	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	4	50	1	2669
54817	1	2	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	3	49	2	1707
54817	1	3	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	4	49	3	6192
54817	1	4	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	5	51	1	1859
54817	1	5	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	5	49	2	2282
54817	1	6	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	5	51	1	1274
54817	1	7	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	1267
54817	1	8	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	1	50	2	731
54817	1	9	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	4	50	1	959
54817	1	10	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	6	51	1	708
54817	1	11	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	6	50	2	1099
54817	1	12	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	3	49	2	971
54817	1	13	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	5	51	1	1021
54817	1	14	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	2	51	2	1008
54817	1	15	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	50	1	1164
54817	1	16	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	928
54817	1	17	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	3	49	2	1333
