username: 54841, Experiment time (minutes): 24
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,0,32,18

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54841	0	1	50	85	85	50	80	50	Att2	3	49	2	17782
54841	0	2	50	80	80	50	32	125	Com1	3	51	3	10046
54841	0	3	85	60	80	50	65	60	Fill	2	49	1	5047
54841	1	1	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	3	50	1	10110
54841	1	2	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	6	51	1	6093
54841	1	3	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	5469
54841	1	4	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	4641
54841	1	5	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	4	51	2	2203
54841	1	6	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	50	1	2703
54841	1	7	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	1	50	2	11047
54841	1	8	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	4	50	1	2469
54841	1	9	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	49	2	2422
54841	1	10	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	49	2	3672
54841	1	11	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	2	49	1	1421
54841	1	12	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	2	51	2	6922
54841	1	13	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	4	50	1	1953
54841	1	14	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	3	49	2	3922
54841	1	15	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	50	1	2047
54841	1	16	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	2	49	1	1141
54841	1	17	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	6	51	1	3594
54841	1	18	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	5	49	2	2422
54841	1	19	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	2	51	2	1422
54841	1	20	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	2	49	1	1157
54841	1	21	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	51	1	1891
54841	1	22	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	4	50	1	1015
54841	1	23	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	3	50	1	1703
54841	1	24	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	2	51	2	4000
54841	1	25	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	5	50	3	2922
54841	1	26	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	3	49	2	1828
54841	1	27	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	4	51	2	719
54841	1	28	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	4	50	1	2765
54841	1	29	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	1	49	1	1438
54841	1	30	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	3	50	1	1172
54841	1	31	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	6	51	1	828
54841	1	32	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	2	51	2	2062
54841	1	33	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	4	51	2	1344
54841	1	34	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	1	49	1	1735
54841	1	35	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	1	50	2	5359
54841	1	36	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	3	49	2	5313
54841	1	37	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	1	49	1	859
54841	1	38	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	2	49	1	2109
54841	1	39	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	2	49	1	1000
54841	1	40	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	5	49	2	2906
