username: 54844, Experiment time (minutes): 37
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54844	0	1	50	85	85	50	80	50	Att2	5	49	2	18641
54844	0	2	85	60	80	50	65	60	Fill	2	50	3	8812
54844	0	3	50	80	80	50	32	125	Com1	3	50	1	3562
54844	1	1	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	51	2	15438
54844	1	2	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	3	50	1	6343
54844	1	3	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	51	1	2969
54844	1	4	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	6	50	2	2922
54844	1	5	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	1	51	3	3828
54844	1	6	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	50	1	2156
54844	1	7	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	5	51	1	7046
54844	1	8	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	2	49	1	4860
54844	1	9	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	2	51	2	1671
54844	1	10	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	1	49	1	3328
54844	1	11	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	3	51	3	3078
54844	1	12	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	1	50	2	3219
54844	1	13	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	1	50	2	3078
54844	1	14	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	2	51	2	2968
54844	1	15	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	6	49	3	3594
54844	1	16	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	4	51	2	4109
54844	1	17	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	1	49	1	6547
54844	1	18	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	5	51	1	3172
54844	1	19	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	1	50	2	1062
54844	1	20	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	2	51	2	2781
54844	1	21	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	2	51	2	2406
54844	1	22	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	1718
54844	1	23	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	1	50	2	4625
54844	1	24	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	5	51	1	2407
54844	1	25	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	4	51	2	2594
54844	1	26	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	3	50	1	2906
54844	1	27	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	3	51	3	2140
54844	1	28	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	2	49	1	1594
54844	1	29	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	4	51	2	2438
54844	1	30	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	6	50	2	2297
