username: 54865, Experiment time (minutes): 19
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54865	0	1	85	60	80	50	65	60	Fill	1	49	1	3776
54865	0	2	50	80	80	50	32	125	Com1	5	50	3	3490
54865	0	3	50	85	85	50	80	50	Att2	2	51	2	2071
54865	1	1	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	3	49	2	3882
54865	1	2	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	6	50	2	1426
54865	1	3	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	6	51	1	2104
54865	1	4	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	3	51	3	2759
54865	1	5	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	5	49	2	2525
54865	1	6	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	4	51	2	1078
54865	1	7	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	49	2	1348
54865	1	8	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	5	49	2	2149
54865	1	9	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	51	2	902
54865	1	10	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	3	49	2	916
54865	1	11	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	4	49	3	857
54865	1	12	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	5	50	3	1757
54865	1	13	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	5	49	2	1107
54865	1	14	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	2	51	2	1058
54865	1	15	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	2	51	2	2758
54865	1	16	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	6	51	1	1644
54865	1	17	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	3	49	2	864
54865	1	18	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	2	49	1	1092
54865	1	19	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	51	3	1126
54865	1	20	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	6	50	2	1268
54865	1	21	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	49	2	897
54865	1	22	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	5	49	2	802
54865	1	23	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	3	49	2	1158
54865	1	24	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	1	50	2	1125
54865	1	25	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	1	49	1	1821
54865	1	26	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	2	51	2	2521
54865	1	27	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	3	49	2	1773
54865	1	28	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	5	49	2	2363
54865	1	29	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	2	50	3	981
54865	1	30	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	2	51	2	1568
54865	1	31	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	4	51	2	1824
54865	1	32	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	51	2	893
54865	1	33	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	6	50	2	2286
54865	1	34	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	5	49	2	866
54865	1	35	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	4	51	2	946
54865	1	36	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	51	2	1022
54865	1	37	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	51	2	696
54865	1	38	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	49	2	1319
