username: 54874, Experiment time (minutes): 56
Operating system: Mac OS 10.7.0
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54874	0	1	85	60	80	50	65	60	Fill	4	50	1	1733
54874	0	2	50	85	85	50	80	50	Att2	5	49	2	2326
54874	0	3	50	80	80	50	32	125	Com1	4	51	2	9715
54874	1	1	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	4	50	1	3056
54874	1	2	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	6	50	2	4386
54874	1	3	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	4	50	1	1860
54874	1	4	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	5	49	2	1364
54874	1	5	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	1413
54874	1	6	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	4	50	1	1635
54874	1	7	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	5	49	2	835
54874	1	8	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	3	49	2	2235
54874	1	9	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	5	51	1	1667
54874	1	10	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	5	51	1	3859
54874	1	11	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	4	50	1	3364
54874	1	12	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	6	51	1	1258
54874	1	13	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	5	49	2	858
54874	1	14	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	3	50	1	1186
54874	1	15	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	49	3	884
54874	1	16	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	4	50	1	3408
54874	1	17	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	1	50	2	1086
54874	1	18	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	4	50	1	3031
54874	1	19	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	6	51	1	2546
54874	1	20	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	5	49	2	812
54874	1	21	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	2089
54874	1	22	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	2	50	3	2513
54874	1	23	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	4	50	1	4142
54874	1	24	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	5	49	2	1947
54874	1	25	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	2	49	1	994
54874	1	26	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	2	49	1	11208
54874	1	27	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	3	49	2	1148
54874	1	28	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	2	49	1	1696
54874	1	29	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	3	50	1	1384
54874	1	30	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	6	51	1	2091
54874	1	31	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	4	50	1	2435
54874	1	32	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	3	50	1	3746
54874	1	33	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	49	1	2887
54874	1	34	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	4	50	1	2776
54874	1	35	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	2	49	1	1378
54874	1	36	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	5	51	1	1062
54874	1	37	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	4	51	2	1205
54874	1	38	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	2	49	1	1081
54874	1	39	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	5	51	1	2400
54874	1	40	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	2	49	1	1523
54874	1	41	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	4	50	1	1056
54874	1	42	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	4	50	1	2456
54874	1	43	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	50	1	1455
54874	1	44	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	50	1	1480
54874	1	45	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	51	1	5856
54874	1	46	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	49	1	2880
54874	1	47	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	3	49	2	1760
54874	1	48	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	2262
54874	1	49	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	6	51	1	9735
54874	1	50	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	5	49	2	2674
54874	1	51	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	5	49	2	2131
