username: 54895, Experiment time (minutes): 23
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,0,45,2

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54895	0	1	85	60	80	50	65	60	Fill	2	49	1	4836
54895	0	2	50	85	85	50	80	50	Att2	4	50	1	2059
54895	0	3	50	80	80	50	32	125	Com1	2	49	1	2465
54895	1	1	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	4	51	2	2496
54895	1	2	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	1	50	2	1030
54895	1	3	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	5	49	2	2512
54895	1	4	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	2	49	1	1077
54895	1	5	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	5	51	1	2527
54895	1	6	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	4	50	1	1638
54895	1	7	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	3	49	2	2044
54895	1	8	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	2	49	1	5413
54895	1	9	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	3	50	1	967
54895	1	10	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	3	49	2	3698
54895	1	11	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	2	51	2	3681
54895	1	12	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	5	49	2	4181
54895	1	13	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	4	51	2	1903
54895	1	14	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	2	49	1	1107
54895	1	15	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	2	49	1	1060
54895	1	16	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	4	50	1	1310
54895	1	17	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	50	1	1685
54895	1	18	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	4	51	2	1139
54895	1	19	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	2	51	2	1060
54895	1	20	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	2	49	1	2574
54895	1	21	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	5	51	1	1888
54895	1	22	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	5	49	2	2059
54895	1	23	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	4	49	3	1357
54895	1	24	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	1	49	1	1607
54895	1	25	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	2	51	2	2028
