username: 54910, Experiment time (minutes): 23
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54910	0	1	50	85	85	50	80	50	Att2	5	51	1	10620
54910	0	2	50	80	80	50	32	125	Com1	2	51	2	5751
54910	0	3	85	60	80	50	65	60	Fill	6	51	1	2916
54910	1	1	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	5	49	2	5045
54910	1	2	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	2	51	2	3149
54910	1	3	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	4	50	1	1313
54910	1	4	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	2	49	1	3671
54910	1	5	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	1	51	3	4720
54910	1	6	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	3842
54910	1	7	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	4	51	2	4877
54910	1	8	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	3	50	1	1395
54910	1	9	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	3	50	1	2094
54910	1	10	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	4	51	2	1686
54910	1	11	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	49	1	1878
54910	1	12	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	2	51	2	1927
54910	1	13	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	6	50	2	2147
54910	1	14	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	3	49	2	3427
54910	1	15	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	6	51	1	963
54910	1	16	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	2	49	1	929
54910	1	17	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	1	49	1	1319
54910	1	18	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	4	50	1	971
54910	1	19	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	1	49	1	1278
54910	1	20	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	5	49	2	1183
54910	1	21	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	3	50	1	1498
54910	1	22	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	3	49	2	1650
54910	1	23	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	6	50	2	1172
54910	1	24	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	51	2	1508
54910	1	25	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	49	2	1857
54910	1	26	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	4	51	2	1520
54910	1	27	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	5	49	2	1095
54910	1	28	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	1	49	1	1335
54910	1	29	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	6	51	1	979
54910	1	30	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	3	49	2	974
54910	1	31	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	4	50	1	1402
54910	1	32	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	3	50	1	1435
54910	1	33	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	2	49	1	1219
54910	1	34	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	3	49	2	1191
54910	1	35	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	2	50	3	1698
54910	1	36	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	5	49	2	1136
54910	1	37	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	5	51	1	1182
54910	1	38	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	3	50	1	1714
54910	1	39	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	2	49	1	758
54910	1	40	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	4	51	2	1299
54910	1	41	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	2	51	2	1411
