username: 54913, Experiment time (minutes): 38
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54913	0	1	85	60	80	50	65	60	Fill	4	51	2	1166
54913	0	2	50	85	85	50	80	50	Att2	3	49	2	1005
54913	0	3	50	80	80	50	32	125	Com1	3	51	3	737
54913	1	1	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	1	50	2	1656
54913	1	2	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	2	51	2	2125
54913	1	3	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	2	49	1	2283
54913	1	4	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	5	49	2	2643
54913	1	5	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	1	50	2	1643
54913	1	6	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	3	49	2	2564
54913	1	7	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	5	50	3	1129
54913	1	8	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	5	49	2	1621
54913	1	9	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	4	51	2	1072
54913	1	10	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	2	49	1	2040
54913	1	11	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	3	50	1	3480
54913	1	12	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	5	51	1	1025
54913	1	13	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	3	50	1	3220
54913	1	14	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	5	51	1	2790
54913	1	15	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	3	49	2	1560
54913	1	16	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	3	50	1	5189
54913	1	17	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	5	49	2	2896
54913	1	18	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	3	50	1	2441
54913	1	19	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	49	2	5095
54913	1	20	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	6	50	2	1944
54913	1	21	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	4	50	1	1557
54913	1	22	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	2	49	1	1722
54913	1	23	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	1	50	2	840
54913	1	24	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	3	50	1	3825
54913	1	25	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	3	49	2	4641
54913	1	26	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	2	51	2	1433
54913	1	27	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	3	50	1	2777
54913	1	28	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	3	50	1	6622
54913	1	29	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	5	50	3	6631
54913	1	30	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	4	51	2	2225
54913	1	31	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	4	50	1	4844
54913	1	32	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	2	51	2	3020
54913	1	33	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	4	51	2	3895
54913	1	34	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	6	50	2	4375
54913	1	35	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	4	51	2	3641
54913	1	36	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	4	51	2	4593
54913	1	37	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	6	51	1	2131
54913	1	38	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	1	50	2	8520
54913	1	39	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	4	51	2	3320
54913	1	40	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	5	51	1	3363
54913	1	41	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	3	49	2	7256
54913	1	42	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	3	49	2	4145
54913	1	43	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	51	1	2607
54913	1	44	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	4	50	1	4864
54913	1	45	49.000	  81.000	  85.000	  59.000	  68.000	  58.000	Fill	1	50	2	1224
54913	1	46	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	51	2	3786
54913	1	47	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	5	49	2	1535
54913	1	48	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	3	50	1	4370
54913	1	49	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	5	49	2	6821
54913	1	50	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	1	50	2	1256
54913	1	51	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	2	51	2	4361
54913	1	52	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	5	49	2	2869
54913	1	53	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	2	51	2	3445
54913	1	54	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	2	51	2	2461
54913	1	55	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	1	50	2	9006
54913	1	56	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	3	50	1	3903
54913	1	57	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	4	51	2	2653
54913	1	58	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	4	50	1	1549
54913	1	59	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	4	51	2	922
54913	1	60	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	2	49	1	2616
54913	1	61	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	4	50	1	1034
54913	1	62	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	2	51	2	818
54913	1	63	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	4	51	2	2340
54913	1	64	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	5	49	2	994
