username: 54925, Experiment time (minutes): 53
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54925	0	1	50	85	85	50	80	50	Att2	4	50	1	8495
54925	0	2	85	60	80	50	65	60	Fill	3	50	1	5197
54925	0	3	50	80	80	50	32	125	Com1	5	49	2	5751
54925	1	1	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	5	51	1	5880
54925	1	2	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	4	50	1	9574
54925	1	3	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	1	50	2	5319
54925	1	4	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	2	51	2	3042
54925	1	5	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	1	50	2	6026
54925	1	6	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	2	49	1	2860
54925	1	7	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	6	50	2	3814
54925	1	8	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	4	51	2	3835
54925	1	9	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	3	49	2	3147
54925	1	10	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	5	49	2	3598
54925	1	11	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	2	49	1	4670
54925	1	12	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	1	50	2	2075
54925	1	13	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	4	51	2	4686
54925	1	14	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	5	51	1	1920
54925	1	15	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	5	51	1	5949
54925	1	16	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	4	51	2	4180
54925	1	17	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	5	49	2	6062
54925	1	18	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	3	49	2	3642
54925	1	19	50.000	  81.000	  82.000	  49.390	  50.000	  74.000	AttF1	6	50	2	6254
54925	1	20	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	6	50	2	2237
54925	1	21	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	2148
54925	1	22	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	2	49	1	4689
54925	1	23	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	5	49	2	2118
54925	1	24	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	50	1	2027
54925	1	25	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	2	51	2	1520
54925	1	26	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	4	51	2	5936
54925	1	27	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	4	50	1	4331
54925	1	28	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	49	2	4838
54925	1	29	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	6	50	2	6174
54925	1	30	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	4	51	2	1771
54925	1	31	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	3	49	2	4012
54925	1	32	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	5	49	2	2500
54925	1	33	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	4	51	2	1398
54925	1	34	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	5	49	2	2015
54925	1	35	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	4	50	1	2562
54925	1	36	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	5	51	1	4312
54925	1	37	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	5	49	2	1283
54925	1	38	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	3	49	2	2232
54925	1	39	50.000	  82.000	  81.000	  50.617	  48.743	  78.000	AttRF1	6	50	2	1217
54925	1	40	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	5	49	2	7332
