username: 54961, Experiment time (minutes): 32
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
54961	0	1	50	85	85	50	80	50	Att2	4	51	2	2871
54961	0	2	85	60	80	50	65	60	Fill	1	49	1	885
54961	0	3	50	80	80	50	32	125	Com1	6	50	2	1437
54961	1	1	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	6	50	2	1240
54961	1	2	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	4	51	2	1213
54961	1	3	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	1	50	2	881
54961	1	4	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	3	49	2	1044
54961	1	5	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	3	49	2	978
54961	1	6	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	4	50	1	762
54961	1	7	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	5	49	2	796
54961	1	8	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	2	50	3	1059
54961	1	9	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	3	49	2	1165
54961	1	10	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	3	49	2	1043
54961	1	11	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	1	50	2	815
54961	1	12	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	5	51	1	931
54961	1	13	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	4	51	2	942
54961	1	14	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	1	50	2	1358
54961	1	15	49.000	  80.000	  81.000	  48.395	  81.000	  40.395	AttR2	4	50	1	799
54961	1	16	53.000	  84.000	  82.000	  54.293	  82.000	  46.293	AttR2	3	49	2	715
54961	1	17	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	5	51	1	1187
54961	1	18	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	5	49	2	863
54961	1	19	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	5	49	2	840
54961	1	20	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	1	50	2	707
54961	1	21	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	3	49	2	964
54961	1	22	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	5	50	3	1582
54961	1	23	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	2	49	1	1210
54961	1	24	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	3	49	2	757
54961	1	25	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	2	50	3	587
54961	1	26	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	2	51	2	1448
54961	1	27	49.000	  80.000	  81.000	  48.395	  49.000	  71.000	AttF1	3	49	2	669
54961	1	28	55.000	  82.000	  83.000	  54.337	  55.000	  74.000	AttF1	1	50	2	797
54961	1	29	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	2	49	1	1643
54961	1	30	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	50	1	771
54961	1	31	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	6	50	2	843
54961	1	32	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	3	50	1	2014
54961	1	33	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	2	51	2	1655
54961	1	34	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	1	51	3	1711
54961	1	35	47.000	  81.000	  83.000	  45.867	  47.000	  73.000	AttF1	2	49	1	1322
54961	1	36	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	4	51	2	1324
54961	1	37	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	2	49	1	1604
54961	1	38	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	2	49	1	1317
54961	1	39	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	4	51	2	1043
54961	1	40	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	4	51	2	1145
54961	1	41	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	3	49	2	689
54961	1	42	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	1	50	2	606
54961	1	43	59.000	  85.000	  80.000	  49.000	  60.000	  69.000	Fill	4	50	1	861
54961	1	44	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	4	50	1	656
54961	1	45	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	4	49	3	1510
54961	1	46	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	3	49	2	734
54961	1	47	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	6	50	2	543
54961	1	48	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	5	49	2	1104
54961	1	49	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	2	49	1	902
54961	1	50	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	6	50	2	1580
54961	1	51	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	3	50	1	1060
54961	1	52	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	2	51	2	1317
54961	1	53	51.000	  78.000	  79.000	  50.354	  51.000	  71.000	AttF1	1	50	2	768
54961	1	54	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	3	50	1	541
54961	1	55	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	4	51	2	863
54961	1	56	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	5	49	2	507
