username: 55057, Experiment time (minutes): 21
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
55057	0	1	50	85	85	50	80	50	Att2	3	50	1	1484
55057	0	2	85	60	80	50	65	60	Fill	6	51	1	1500
55057	0	3	50	80	80	50	32	125	Com1	4	51	2	1984
55057	1	1	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	3	49	2	2344
55057	1	2	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	2	51	2	890
55057	1	3	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	2	51	2	953
55057	1	4	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	3	49	2	906
55057	1	5	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	2	51	2	985
55057	1	6	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	2	51	2	1015
55057	1	7	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	4	50	1	2312
55057	1	8	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	1	50	2	1109
55057	1	9	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	5	49	2	937
55057	1	10	47.000	  84.000	  86.000	  60.000	  68.000	  59.000	Fill	4	51	2	1203
55057	1	11	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	2	51	2	1328
55057	1	12	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	5	49	2	860
55057	1	13	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	6	50	2	1422
55057	1	14	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	4	51	2	1016
55057	1	15	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	4	51	2	1281
55057	1	16	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	4	51	2	1156
55057	1	17	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	1	50	2	1532
55057	1	18	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	2	51	2	1484
55057	1	19	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	4	51	2	937
55057	1	20	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	2	49	1	1031
55057	1	21	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	3	49	2	781
55057	1	22	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	6	51	1	2125
55057	1	23	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	5	49	2	1172
55057	1	24	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	1	50	2	1125
55057	1	25	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	6	49	3	1859
55057	1	26	50.000	  80.000	  85.000	  60.000	  69.000	  60.000	Fill	3	49	2	859
55057	1	27	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	2	51	2	1109
55057	1	28	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	2	51	2	657
55057	1	29	51.000	  80.000	  82.000	  49.756	  46.115	  76.000	AttRF1	4	50	1	1734
55057	1	30	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	1	50	2	985
55057	1	31	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	6	50	2	891
