username: 55165, Experiment time (minutes): 21
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,2,159,1

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
55165	0	1	85	60	80	50	65	60	Fill	3	50	1	3578
55165	0	2	50	85	85	50	80	50	Att2	5	49	2	6694
55165	0	3	50	80	80	50	32	125	Com1	6	50	2	7780
55165	1	1	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	4	50	1	4429
55165	1	2	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	5	49	2	4849
55165	1	3	51.000	  80.000	  82.000	  49.756	  77.000	  49.087	AttRF2	3	50	1	10536
55165	1	4	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	6	51	1	1714
55165	1	5	48.000	  80.000	  81.000	  47.407	  48.000	  72.000	AttF1	1	49	1	5352
55165	1	6	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	5	49	2	4978
55165	1	7	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	50	1	1357
55165	1	8	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	1	50	2	3464
55165	1	9	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	2	51	2	4709
55165	1	10	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	4	51	2	1192
55165	1	11	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	2	49	1	910
55165	1	12	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	2	49	1	1372
55165	1	13	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	4	51	2	1477
55165	1	14	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	2	49	1	2556
55165	1	15	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	4	50	1	1961
55165	1	16	54.000	  82.000	  80.000	  55.350	  75.000	  49.390	AttRF2	4	50	1	980
55165	1	17	50.000	  81.000	  82.000	  49.390	  73.000	  49.390	AttF2	4	51	2	1729
55165	1	18	47.000	  81.000	  83.000	  45.867	  75.000	  45.867	AttF2	3	49	2	2548
55165	1	19	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	5	49	2	3091
55165	1	20	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	4	51	2	1733
