username: 55261, Experiment time (minutes): 21
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,0,42,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
55261	0	1	50	85	85	50	80	50	Att2	4	50	1	3370
55261	0	2	85	60	80	50	65	60	Fill	5	51	1	2445
55261	0	3	50	80	80	50	32	125	Com1	5	51	1	4609
55261	1	1	59.000	  87.000	  80.000	  47.000	  58.000	  69.000	Fill	2	49	1	1014
55261	1	2	58.000	  86.000	  79.000	  50.000	  57.000	  66.000	Fill	3	50	1	995
55261	1	3	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	4	50	1	1111
55261	1	4	49.000	  80.000	  81.000	  48.395	  40.000	  80.000	AttR1	2	49	1	1295
55261	1	5	55.000	  82.000	  83.000	  54.337	  50.409	  77.000	AttRF1	5	51	1	1328
55261	1	6	61.000	  85.000	  78.000	  48.000	  57.000	  67.000	Fill	5	51	1	1494
55261	1	7	51.000	  79.000	  86.000	  62.000	  68.000	  59.000	Fill	5	49	2	930
55261	1	8	50.000	  81.000	  82.000	  49.390	  43.000	  81.000	AttR1	4	50	1	1249
55261	1	9	54.000	  82.000	  80.000	  55.350	  73.000	  55.350	AttF2	2	51	2	1516
55261	1	10	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	2	49	1	2273
55261	1	11	47.000	  81.000	  83.000	  45.867	  78.000	  45.259	AttRF2	3	49	2	1620
55261	1	12	47.000	  81.000	  83.000	  45.867	  40.000	  81.000	AttR1	5	51	1	2192
55261	1	13	50.000	  82.000	  81.000	  50.617	  76.000	  46.341	AttRF2	5	51	1	846
55261	1	14	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	3	50	1	2476
55261	1	15	48.000	  80.000	  81.000	  47.407	  44.481	  76.000	AttRF1	5	51	1	1097
55261	1	16	53.000	  84.000	  82.000	  54.293	  77.000	  48.583	AttRF2	1	50	2	865
55261	1	17	51.000	  80.000	  82.000	  49.756	  51.000	  73.000	AttF1	3	49	2	1351
55261	1	18	53.000	  84.000	  82.000	  54.293	  46.000	  84.000	AttR1	4	50	1	3261
55261	1	19	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	2	51	2	1253
55261	1	20	48.000	  80.000	  81.000	  47.407	  81.000	  39.407	AttR2	5	49	2	769
55261	1	21	53.000	  84.000	  82.000	  54.293	  52.968	  80.000	AttRF1	5	51	1	1422
55261	1	22	50.000	  78.000	  86.000	  59.000	  68.000	  60.000	Fill	3	49	2	667
55261	1	23	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	3	50	1	665
55261	1	24	51.000	  80.000	  82.000	  49.756	  73.000	  49.756	AttF2	3	50	1	791
55261	1	25	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	1	50	2	852
55261	1	26	47.000	  81.000	  83.000	  45.867	  41.999	  76.000	AttRF1	3	50	1	2508
55261	1	27	54.000	  82.000	  80.000	  55.350	  53.966	  78.000	AttRF1	3	50	1	1668
55261	1	28	49.000	  80.000	  81.000	  48.395	  76.000	  46.550	AttRF2	4	50	1	1507
55261	1	29	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	4	50	1	1483
55261	1	30	48.000	  80.000	  81.000	  47.407	  72.000	  47.407	AttF2	5	51	1	849
55261	1	31	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	3	50	1	881
55261	1	32	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	3	49	2	947
55261	1	33	54.000	  82.000	  80.000	  55.350	  47.000	  82.000	AttR1	5	49	2	3794
55261	1	34	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	4	51	2	1571
55261	1	35	52.000	  82.000	  85.000	  58.000	  68.000	  60.000	Fill	2	51	2	1013
55261	1	36	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	49	2	766
55261	1	37	55.000	  82.000	  83.000	  54.337	  79.000	  52.988	AttRF2	2	51	2	957
55261	1	38	50.000	  81.000	  82.000	  49.390	  77.000	  47.531	AttRF2	5	51	1	1157
55261	1	39	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	5	51	1	831
55261	1	40	51.000	  78.000	  79.000	  50.354	  70.000	  50.354	AttF2	3	50	1	2646
55261	1	41	55.000	  82.000	  83.000	  54.337	  76.000	  54.337	AttF2	5	50	3	978
55261	1	42	60.000	  84.000	  80.000	  49.000	  60.000	  69.000	Fill	5	51	1	885
55261	1	43	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	2	49	1	746
55261	1	44	48.000	  79.000	  84.000	  64.000	  68.000	  59.000	Fill	4	51	2	737
55261	1	45	47.000	  81.000	  83.000	  45.867	  83.000	  36.867	AttR2	6	51	1	950
55261	1	46	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	4	50	1	789
55261	1	47	50.000	  82.000	  81.000	  50.617	  74.000	  50.617	AttF2	3	51	3	968
55261	1	48	60.000	  86.000	  78.000	  48.000	  59.000	  66.000	Fill	4	50	1	763
55261	1	49	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	4	50	1	670
55261	1	50	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	1	50	2	3210
55261	1	51	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	1	49	1	1892
55261	1	52	50.000	  81.000	  82.000	  49.390	  45.776	  76.000	AttRF1	4	50	1	1888
