username: 55363, Experiment time (minutes): 22
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimPosition	rawResp	response	RT
55363	0	1	85	60	80	50	65	60	Fill	4	50	1	6131
55363	0	2	50	85	85	50	80	50	Att2	6	49	3	5007
55363	0	3	50	80	80	50	32	125	Com1	6	51	1	2200
55363	1	1	50.000	  81.000	  85.000	  60.000	  68.000	  59.000	Fill	2	51	2	5102
55363	1	2	51.000	  78.000	  79.000	  50.354	  75.000	  49.038	AttRF2	5	49	2	2184
55363	1	3	51.000	  80.000	  82.000	  49.756	  82.000	  40.756	AttR2	2	49	1	2058
55363	1	4	48.000	  80.000	  81.000	  47.407	  77.000	  46.200	AttRF2	2	49	1	2246
55363	1	5	54.000	  82.000	  80.000	  55.350	  80.000	  46.350	AttR2	5	51	1	3120
55363	1	6	53.000	  84.000	  82.000	  54.293	  53.000	  75.000	AttF1	2	50	3	3806
55363	1	7	53.000	  84.000	  82.000	  54.293	  75.000	  54.293	AttF2	4	49	3	3355
55363	1	8	50.000	  82.000	  81.000	  50.617	  50.000	  74.000	AttF1	2	51	2	1373
55363	1	9	64.000	  84.000	  81.000	  50.000	  59.000	  68.000	Fill	1	49	1	2355
55363	1	10	52.000	  82.000	  84.000	  58.000	  70.000	  59.000	Fill	5	49	2	3292
55363	1	11	57.000	  86.000	  82.000	  49.000	  59.000	  70.000	Fill	5	51	1	878
55363	1	12	54.000	  82.000	  80.000	  55.350	  54.000	  75.000	AttF1	5	49	2	4334
55363	1	13	51.000	  78.000	  79.000	  50.354	  42.000	  78.000	AttR1	6	51	1	2419
55363	1	14	51.000	  78.000	  79.000	  50.354	  79.000	  42.354	AttR2	2	49	1	1653
55363	1	15	55.000	  82.000	  83.000	  54.337	  46.000	  82.000	AttR1	2	49	1	4213
55363	1	16	50.000	  81.000	  82.000	  49.390	  82.000	  42.390	AttR2	5	49	2	1482
55363	1	17	51.000	  78.000	  79.000	  50.354	  46.530	  73.000	AttRF1	2	49	1	1638
55363	1	18	55.000	  82.000	  83.000	  54.337	  83.000	  45.337	AttR2	5	49	2	5288
55363	1	19	50.000	  82.000	  81.000	  50.617	  81.000	  42.617	AttR2	3	49	2	3713
55363	1	20	49.000	  80.000	  81.000	  48.395	  73.000	  48.395	AttF2	5	49	2	2574
55363	1	21	49.000	  80.000	  81.000	  48.395	  45.408	  76.000	AttRF1	3	50	1	5647
55363	1	22	60.000	  84.000	  79.000	  50.000	  56.000	  69.000	Fill	4	50	1	1598
55363	1	23	47.000	  80.000	  87.000	  59.000	  69.000	  58.000	Fill	6	50	2	2547
55363	1	24	48.000	  80.000	  81.000	  47.407	  39.000	  80.000	AttR1	5	51	1	2277
55363	1	25	58.000	  82.000	  77.000	  50.000	  60.000	  69.000	Fill	5	51	1	5631
55363	1	26	51.000	  80.000	  82.000	  49.756	  44.000	  80.000	AttR1	1	50	2	2402
55363	1	27	50.000	  82.000	  81.000	  50.617	  43.000	  82.000	AttR1	2	49	1	1513
