username: 4282, Experiment time (minutes): 45
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,183,10

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
4282	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	4518
4282	0	2	92.000	  41.109	  76.000	  49.763	  61.000	  62.000	Com1	R	2	50	3	5926
4282	0	3	73.000	  50.110	  59.000	  62.000	  50.110	  73.000	Com2	R	6	51	1	2132
4282	1	1	59.000	  61.000	  58.000	  54.052	  61.000	  50.967	Fill3	R	6	51	1	1986
4282	1	2	95.000	  39.158	  80.000	  46.500	  62.000	  60.000	Com1	R	4	49	3	1681
4282	1	3	91.000	  38.242	  90.000	  33.956	  94.000	  31.851	Fill1	R	4	50	1	1561
4282	1	4	97.000	  37.072	  80.000	  44.950	  62.000	  58.000	Com1	R	1	51	3	4055
4282	1	5	80.000	  43.462	  61.000	  57.000	  40.430	  86.000	Com2	R	4	51	2	4366
4282	1	6	82.000	  44.561	  63.000	  58.000	  41.056	  89.000	Com2	R	2	51	2	2314
4282	1	7	88.000	  37.545	  87.000	  32.379	  89.000	  31.607	Fill1	R	5	51	1	2087
4282	1	8	54.000	  70.000	  53.000	  62.075	  55.000	  60.891	Fill4	R	6	51	1	3167
4282	1	9	79.000	  47.051	  76.000	  43.197	  81.000	  40.654	Fill2	R	4	50	1	2313
4282	1	10	96.000	  36.854	  79.000	  44.785	  61.000	  58.000	Com1	R	2	50	3	3702
4282	1	11	39.989	  90.000	  38.989	  78.535	  40.989	  74.581	Fill5	R	5	51	1	3692
4282	1	12	81.000	  44.333	  63.000	  57.000	  41.276	  87.000	Com2	R	1	50	2	4531
4282	1	13	80.000	  44.175	  62.000	  57.000	  40.621	  87.000	Com2	R	2	51	2	1497
4282	1	14	49.986	  72.000	  47.986	  66.144	  50.986	  61.370	Fill4	R	4	51	2	2345
4282	1	15	52.352	  71.000	  51.352	  63.425	  54.352	  59.556	Fill4	R	1	51	3	2422
4282	1	16	82.000	  45.329	  63.000	  59.000	  42.239	  88.000	Com2	R	3	49	2	3185
4282	1	17	90.000	  39.989	  88.000	  35.773	  92.000	  33.967	Fill1	R	4	50	1	2059
4282	1	18	81.000	  44.395	  62.000	  58.000	  41.333	  87.000	Com2	R	5	49	2	2051
4282	1	19	47.884	  69.000	  44.884	  63.541	  49.884	  57.233	Fill4	R	2	49	1	2971
4282	1	20	90.000	  39.989	  87.000	  35.897	  93.000	  34.172	Fill1	R	4	50	1	2127
4282	1	21	96.000	  37.406	  95.000	  33.063	  99.000	  31.576	Fill1	R	2	49	1	1300
4282	1	22	42.239	  88.000	  41.239	  77.937	  43.239	  73.476	Fill5	R	2	49	1	2072
