username: 5036, Experiment time (minutes): 77
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,183,10

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
5036	0	1	73.000	  50.110	  59.000	  62.000	  50.110	  73.000	Com2	R	1	50	2	2813
5036	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	2994
5036	0	3	92.000	  41.109	  76.000	  49.763	  61.000	  62.000	Com1	R	5	49	2	2358
5036	1	1	40.667	  90.000	  39.667	  78.908	  42.667	  73.453	Fill5	R	5	50	3	2200
5036	1	2	79.000	  47.848	  77.000	  42.935	  82.000	  40.756	Fill2	R	4	50	1	1623
5036	1	3	39.101	  89.000	  37.101	  79.566	  41.101	  72.188	Fill5	R	3	51	3	2001
5036	1	4	47.884	  69.000	  44.884	  63.541	  49.884	  57.233	Fill4	R	2	49	1	2411
5036	1	5	80.000	  44.987	  61.000	  59.000	  40.898	  88.000	Com2	R	1	50	2	1478
5036	1	6	94.000	  37.638	  79.000	  44.785	  61.000	  58.000	Com1	R	4	51	2	1622
5036	1	7	81.000	  44.395	  62.000	  58.000	  41.333	  87.000	Com2	R	4	51	2	1664
5036	1	8	80.000	  44.950	  62.000	  58.000	  41.333	  87.000	Com2	R	2	51	2	2120
5036	1	9	80.000	  45.675	  63.000	  58.000	  42.000	  87.000	Com2	R	2	51	2	1150
5036	1	10	96.000	  36.854	  79.000	  44.785	  61.000	  58.000	Com1	R	2	51	2	1755
5036	1	11	75.000	  48.800	  74.000	  42.757	  78.000	  41.474	Fill2	R	2	49	1	1343
5036	1	12	97.000	  36.433	  80.000	  44.175	  62.000	  57.000	Com1	R	6	49	3	2581
5036	1	13	54.000	  70.000	  53.000	  62.075	  55.000	  60.891	Fill4	R	3	51	3	1912
5036	1	14	39.989	  90.000	  38.989	  78.535	  40.989	  74.581	Fill5	R	4	50	1	2054
5036	1	15	82.000	  44.561	  63.000	  58.000	  41.056	  89.000	Com2	R	4	51	2	1934
5036	1	16	97.000	  37.021	  81.000	  44.333	  63.000	  57.000	Com1	R	2	50	3	1579
5036	1	17	42.239	  88.000	  41.239	  77.937	  43.239	  73.476	Fill5	R	6	49	3	4806
5036	1	18	98.000	  37.286	  80.000	  45.675	  63.000	  58.000	Com1	R	2	51	2	3151
5036	1	19	63.000	  57.000	  61.000	  51.656	  66.000	  47.879	Fill3	R	5	51	1	1021
5036	1	20	77.000	  45.974	  60.000	  59.000	  40.227	  88.000	Com2	R	3	49	2	1263
5036	1	21	94.000	  38.287	  78.000	  46.141	  61.000	  59.000	Com1	R	2	50	3	1480
5036	1	22	80.000	  44.175	  62.000	  57.000	  40.621	  87.000	Com2	R	4	51	2	936
5036	1	23	60.000	  58.000	  59.000	  52.017	  63.000	  48.873	Fill3	R	3	50	1	1230
5036	1	24	56.000	  59.000	  55.000	  52.073	  58.000	  49.069	Fill3	R	3	50	1	1304
5036	1	25	90.000	  39.989	  87.000	  35.897	  93.000	  34.172	Fill1	R	5	51	1	1486
5036	1	26	37.124	  89.000	  36.124	  77.595	  38.124	  72.501	Fill5	R	3	50	1	1102
5036	1	27	81.000	  44.333	  63.000	  57.000	  41.276	  87.000	Com2	R	4	51	2	1514
5036	1	28	95.000	  37.853	  81.000	  44.395	  62.000	  58.000	Com1	R	6	50	2	2007
5036	1	29	72.000	  45.889	  69.000	  40.928	  74.000	  39.068	Fill2	R	5	51	1	818
5036	1	30	88.000	  37.545	  87.000	  32.379	  89.000	  31.607	Fill1	R	3	51	3	2765
5036	1	31	76.000	  45.789	  74.000	  40.743	  78.000	  39.077	Fill2	R	5	51	1	1626
5036	1	32	39.989	  90.000	  37.989	  80.445	  40.989	  75.142	Fill5	R	4	51	2	1125
5036	1	33	82.000	  45.329	  63.000	  59.000	  41.300	  90.000	Com2	R	1	50	2	2227
5036	1	34	80.000	  46.500	  62.000	  60.000	  40.879	  91.000	Com2	R	5	49	2	1270
5036	1	35	95.000	  37.263	  77.000	  45.974	  60.000	  59.000	Com1	R	2	50	3	733
5036	1	36	96.000	  36.219	  80.000	  43.462	  61.000	  57.000	Com1	R	5	50	3	906
5036	1	37	80.000	  44.175	  62.000	  57.000	  40.159	  88.000	Com2	R	4	49	3	1135
5036	1	38	49.986	  72.000	  46.986	  66.786	  50.986	  61.056	Fill4	R	4	50	1	1325
5036	1	39	63.000	  60.000	  61.000	  54.754	  64.000	  52.578	Fill3	R	2	49	1	850
5036	1	40	59.000	  61.000	  57.000	  55.491	  62.000	  51.194	Fill3	R	2	51	2	1482
5036	1	41	79.000	  47.051	  76.000	  43.197	  81.000	  40.654	Fill2	R	6	50	2	682
5036	1	42	49.714	  70.000	  47.714	  64.299	  50.714	  59.431	Fill4	R	4	50	1	874
5036	1	43	96.000	  35.583	  79.000	  43.241	  61.000	  56.000	Com1	R	1	51	3	930
5036	1	44	96.000	  38.063	  82.000	  44.561	  63.000	  58.000	Com1	R	3	49	2	1111
5036	1	45	97.000	  37.072	  80.000	  44.950	  62.000	  58.000	Com1	R	2	50	3	1285
5036	1	46	93.000	  39.355	  91.000	  35.022	  94.000	  33.681	Fill1	R	5	51	1	1116
5036	1	47	96.000	  37.490	  80.000	  44.987	  61.000	  59.000	Com1	R	1	51	3	1130
5036	1	48	95.000	  39.126	  94.000	  34.543	  96.000	  34.000	Fill1	R	2	49	1	1111
5036	1	49	52.352	  71.000	  51.352	  63.425	  54.352	  59.556	Fill4	R	2	49	1	1477
5036	1	50	81.000	  43.630	  62.000	  57.000	  40.159	  88.000	Com2	R	5	49	2	1669
5036	1	51	49.986	  72.000	  47.986	  66.144	  50.986	  61.370	Fill4	R	6	51	1	3085
5036	1	52	96.000	  37.406	  95.000	  33.063	  99.000	  31.576	Fill1	R	4	49	3	1933
5036	1	53	97.000	  36.433	  80.000	  44.175	  62.000	  57.000	Com1	R	5	49	2	1434
5036	1	54	97.000	  38.320	  82.000	  45.329	  63.000	  59.000	Com1	R	4	49	3	1081
5036	1	55	79.000	  44.785	  61.000	  58.000	  39.753	  89.000	Com2	R	2	51	2	1897
5036	1	56	50.833	  72.000	  48.833	  65.119	  52.833	  60.473	Fill4	R	5	51	1	889
