username: 31080, Experiment time (minutes): 25
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,183,5

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
31080	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	7031
31080	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	51	2	2697
31080	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	2156
31080	1	1	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	4	51	2	1962
31080	1	2	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	1	50	2	1482
31080	1	3	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	3	50	1	1659
31080	1	4	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	49	2	2193
31080	1	5	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	1	49	1	1526
31080	1	6	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	5	51	1	1577
31080	1	7	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	2	49	1	1055
31080	1	8	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	49	2	1775
31080	1	9	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	51	3	1405
31080	1	10	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	3	50	1	1951
31080	1	11	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	2	49	1	1331
31080	1	12	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	3	49	2	1661
31080	1	13	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	51	2	1079
31080	1	14	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	50	1	2117
31080	1	15	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	5	50	3	1945
31080	1	16	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	49	2	1180
31080	1	17	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	3	50	1	837
31080	1	18	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	49	1	908
31080	1	19	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	1	49	1	1087
31080	1	20	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	4	50	1	698
31080	1	21	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	778
31080	1	22	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	1	49	1	2653
31080	1	23	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	2	51	2	1564
31080	1	24	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	2	50	3	1580
31080	1	25	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	2	49	1	895
31080	1	26	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	51	1	866
