username: 31455, Experiment time (minutes): 14
Operating system: Mac OS 10.6.8
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,3,181,14

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
31455	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	51	2	11268
31455	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	4152
31455	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	1648
31455	1	1	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	4	51	2	2243
31455	1	2	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	3	50	1	3486
31455	1	3	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	51	1	1710
31455	1	4	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	4	49	3	1187
31455	1	5	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	1	50	2	1486
31455	1	6	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	51	2	1070
31455	1	7	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	2	51	2	1470
31455	1	8	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	50	3	1533
31455	1	9	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	51	1	786
31455	1	10	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	1	51	3	1397
31455	1	11	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	3	49	2	1024
31455	1	12	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	2	51	2	763
31455	1	13	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	50	1	1849
31455	1	14	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	6	49	3	1048
31455	1	15	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	49	2	928
31455	1	16	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	6	50	2	1837
31455	1	17	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	805
31455	1	18	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	1	50	2	641
31455	1	19	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	50	3	1129
31455	1	20	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	1	49	1	1021
31455	1	21	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	6	51	1	1065
31455	1	22	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	50	3	1328
31455	1	23	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	2	51	2	1453
31455	1	24	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	3	51	3	1078
31455	1	25	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	3	49	2	869
31455	1	26	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	5	49	2	2758
31455	1	27	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	5	51	1	763
31455	1	28	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	6	50	2	1041
31455	1	29	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	705
31455	1	30	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	1	51	3	1197
31455	1	31	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	2	49	1	840
31455	1	32	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	5	51	1	744
31455	1	33	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	4	50	1	1109
31455	1	34	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	6	49	3	770
31455	1	35	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	2	50	3	949
31455	1	36	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	3	51	3	739
31455	1	37	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	5	49	2	560
31455	1	38	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	49	2	965
31455	1	39	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	6	50	2	787
31455	1	40	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	51	2	677
31455	1	41	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	2	49	1	629
31455	1	42	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	5	49	2	912
31455	1	43	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	4	51	2	662
