username: 31477, Experiment time (minutes): 18
Operating system: Mac OS 10.6.6
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
31477	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	1	51	3	7762
31477	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	50	1	13715
31477	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	6410
31477	1	1	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	5	49	2	3988
31477	1	2	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	6	51	1	1813
31477	1	3	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	1	49	1	1880
31477	1	4	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	3367
31477	1	5	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	50	1	5043
31477	1	6	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	50	3	4843
31477	1	7	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	3	50	1	5443
31477	1	8	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	2	51	2	8258
31477	1	9	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	49	3	2274
31477	1	10	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	49	2	4843
31477	1	11	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	51	1	2282
31477	1	12	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	50	3	4386
31477	1	13	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	2821
31477	1	14	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	2	49	1	2448
31477	1	15	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	6	49	3	1184
31477	1	16	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	50	3	3985
31477	1	17	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	1	51	3	1421
