username: 31499, Experiment time (minutes): 10
Operating system: Windows XP
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 10,3,183,10

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
31499	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	98	3	6191
31499	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	2	98	3	992
31499	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	98	3	462
31499	1	1	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	101	0	1031
31499	1	2	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	5	102	0	387
31499	1	3	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	98	3	240
31499	1	4	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	3	102	0	37
31499	1	5	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	4	102	0	630
31499	1	6	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	4	101	0	239
31499	1	7	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	99	1	305
31499	1	8	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	102	0	260
31499	1	9	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	6	98	2	436
31499	1	10	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	6	97	3	660
31499	1	11	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	99	2	261
31499	1	12	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	5	98	3	337
31499	1	13	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	6	98	2	685
31499	1	14	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	99	2	171
31499	1	15	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	97	2	374
31499	1	16	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	1	98	2	31
31499	1	17	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	4	97	3	318
31499	1	18	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	4	99	2	380
31499	1	19	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	1	97	1	215
31499	1	20	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	1	97	1	127
31499	1	21	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	97	3	48
31499	1	22	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	97	2	14
31499	1	23	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	97	2	47
