username: 45928, Experiment time (minutes): 26
Operating system: Windows 7
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
45928	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	6	50	2	2199
45928	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	2964
45928	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	49	2	2184
45928	1	1	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	2	49	1	2091
45928	1	2	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	2	50	3	1185
45928	1	3	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	4	49	3	1545
45928	1	4	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	3	51	3	1576
45928	1	5	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	5	49	2	1638
45928	1	6	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	2387
45928	1	7	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	3	50	1	2355
45928	1	8	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	3	50	1	1545
45928	1	9	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	3	50	1	1497
45928	1	10	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	50	1	2824
45928	1	11	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	3	50	1	2746
45928	1	12	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	5	51	1	1497
45928	1	13	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	5	50	3	998
45928	1	14	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	4	49	3	4415
45928	1	15	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	2	50	3	1341
45928	1	16	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	1	50	2	1591
45928	1	17	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	6	50	2	2808
45928	1	18	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	5	51	1	1201
45928	1	19	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	5	50	3	2543
45928	1	20	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	3	49	2	1700
45928	1	21	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	3	50	1	1357
45928	1	22	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	6	49	3	2028
45928	1	23	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	49	3	1701
45928	1	24	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	5	49	2	1217
45928	1	25	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	2	49	1	843
45928	1	26	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	50	3	1451
45928	1	27	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	5	49	2	1123
45928	1	28	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	2	51	2	2044
45928	1	29	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	2	50	3	1654
45928	1	30	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	3	49	2	1856
45928	1	31	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	6	49	3	1560
45928	1	32	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	3	51	3	1997
45928	1	33	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	6	49	3	2371
45928	1	34	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	6	51	1	2777
45928	1	35	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	5	50	3	1420
45928	1	36	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	51	2	2418
45928	1	37	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	4	49	3	1124
45928	1	38	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	49	2	967
45928	1	39	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	2	49	1	1061
45928	1	40	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	1	49	1	3822
45928	1	41	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	51	3	1045
45928	1	42	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	50	1	4088
45928	1	43	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	1607
45928	1	44	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	4	50	1	749
45928	1	45	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	1	51	3	2512
45928	1	46	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	6	49	3	1435
45928	1	47	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	49	3	1076
45928	1	48	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	49	2	1482
45928	1	49	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	6	49	3	1919
45928	1	50	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	1591
45928	1	51	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	3	49	2	1451
45928	1	52	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	5	51	1	3104
45928	1	53	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	2	49	1	827
45928	1	54	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	1326
45928	1	55	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	5	51	1	2808
45928	1	56	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	5	51	1	1202
45928	1	57	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	4	50	1	1981
45928	1	58	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	2	51	2	1591
45928	1	59	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	1	51	3	2886
45928	1	60	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	5	50	3	1077
45928	1	61	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	49	1	2184
45928	1	62	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	6	49	3	1794
45928	1	63	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	1279
45928	1	64	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	2	49	1	1045
45928	1	65	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	4	51	2	1154
45928	1	66	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	3	50	1	1716
45928	1	67	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	51	1	1045
45928	1	68	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	1	50	2	1435
45928	1	69	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	49	2	1357
45928	1	70	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	49	2	1310
45928	1	71	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	6	50	2	1046
45928	1	72	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	2	49	1	2730
45928	1	73	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	1	49	1	3369
45928	1	74	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	3	49	2	749
45928	1	75	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	6	51	1	1061
45928	1	76	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	2013
45928	1	77	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	4	50	1	1872
45928	1	78	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	51	3	1934
45928	1	79	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	3	49	2	2293
45928	1	80	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	2	50	3	1201
45928	2	1	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	5	49	2	1404
45928	2	2	59.000	  61.000	  58.000	  53.776	  62.000	  50.081	Fill3	R	3	50	1	593
45928	2	3	76.000	  45.026	  59.000	  58.000	  81.425	  42.026	SimB1	R	2	51	2	952
45928	2	4	47.705	  78.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	5	50	3	655
45928	2	5	76.000	  45.789	  60.000	  58.000	  57.000	  61.053	SimB2	R	3	50	1	1513
45928	2	6	91.000	  36.967	  89.000	  33.000	  94.000	  30.904	Fill1	R	3	50	1	748
45928	2	7	45.627	  75.000	  58.000	  59.000	  61.107	  56.000	SimA2	R	4	49	3	1513
45928	2	8	93.000	  39.355	  90.000	  35.533	  96.000	  33.750	Fill1	R	3	50	1	920
45928	2	9	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	1	51	3	1748
45928	2	10	60.000	  61.000	  59.000	  53.898	  63.000	  50.444	Fill3	R	2	49	1	812
45928	2	11	44.577	  78.000	  57.000	  61.000	  41.577	  83.628	SimA1	R	5	51	1	2698
45928	2	12	53.268	  71.000	  52.268	  63.577	  54.268	  60.773	Fill4	R	2	49	1	1528
45928	2	13	72.000	  46.722	  70.000	  41.629	  75.000	  39.400	Fill2	R	4	50	1	936
45928	2	14	46.753	  77.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	1	51	3	2137
45928	2	15	75.000	  47.987	  72.000	  43.819	  77.000	  41.545	Fill2	R	3	50	1	858
45928	2	16	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	49	1	1513
45928	2	17	76.000	  48.158	  74.000	  43.716	  78.000	  41.282	Fill2	R	5	51	1	1420
45928	2	18	47.838	  74.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	49	3	1763
45928	2	19	75.000	  48.800	  60.000	  61.000	  83.562	  43.800	SimB1	R	4	50	1	983
45928	2	20	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	49	2	1185
45928	2	21	46.579	  76.000	  59.000	  60.000	  42.579	  83.140	SimA1	R	4	51	2	1264
45928	2	22	76.000	  48.961	  61.000	  61.000	  56.000	  66.446	SimB2	R	6	50	2	562
45928	2	23	50.833	  72.000	  48.833	  65.877	  52.833	  60.379	Fill4	R	2	49	1	795
45928	2	24	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	4	50	1	905
45928	2	25	77.000	  47.532	  61.000	  60.000	  86.052	  42.532	SimB1	R	5	51	1	1591
45928	2	26	47.838	  74.000	  60.000	  59.000	  44.838	  78.951	SimA1	R	4	51	2	1685
45928	2	27	46.400	  75.000	  60.000	  58.000	  65.660	  53.000	SimA2	R	2	50	3	655
45928	2	28	77.000	  47.532	  60.000	  61.000	  86.052	  42.532	SimB1	R	2	50	3	640
45928	2	29	73.000	  47.630	  57.000	  61.000	  52.000	  66.865	SimB2	R	4	49	3	671
45928	2	30	46.400	  75.000	  60.000	  58.000	  43.400	  80.184	SimA1	R	1	50	2	1497
45928	2	31	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	50	1	733
45928	2	32	76.000	  47.355	  59.000	  61.000	  55.000	  65.436	SimB2	R	4	49	3	2371
45928	2	33	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	5	50	3	655
45928	2	34	74.000	  46.243	  58.000	  59.000	  54.000	  63.370	SimB2	R	4	51	2	1092
45928	2	35	58.000	  58.000	  56.000	  51.339	  59.000	  48.915	Fill3	R	1	49	1	1872
45928	2	36	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	6	50	2	1045
45928	2	37	77.000	  49.117	  74.000	  44.689	  78.000	  43.051	Fill2	R	1	49	1	1326
45928	2	38	46.877	  73.000	  59.000	  58.000	  43.877	  77.991	SimA1	R	3	49	2	2559
45928	2	39	73.000	  47.630	  57.000	  61.000	  81.562	  42.630	SimB1	R	2	50	3	1373
45928	2	40	45.627	  75.000	  58.000	  59.000	  41.627	  82.207	SimA1	R	4	50	1	1513
45928	2	41	41.560	  91.000	  39.560	  81.698	  42.560	  77.067	Fill5	R	6	50	2	1997
45928	2	42	76.000	  45.789	  60.000	  58.000	  81.328	  42.789	SimB1	R	6	51	1	1903
45928	2	43	46.877	  73.000	  59.000	  58.000	  64.566	  53.000	SimA2	R	4	49	3	2043
45928	2	44	47.987	  75.000	  61.000	  59.000	  44.987	  80.001	SimA1	R	5	51	1	1903
