username: 46039, Experiment time (minutes): 747
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
46039	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	2	51	2	2344
46039	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	5	49	2	3211
46039	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	1	49	1	2464
46039	1	1	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	3	51	3	1616
46039	1	2	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	3	49	2	1188
46039	1	3	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	4	49	3	1886
46039	1	4	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	4	49	3	2618
46039	1	5	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	5	49	2	2687
46039	1	6	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	2	51	2	2454
46039	1	7	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	2	51	2	2462
46039	1	8	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	49	1	2305
46039	1	9	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	4	51	2	3154
46039	1	10	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	6	49	3	2718
46039	1	11	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	51	3	2952
46039	1	12	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	1960
46039	1	13	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	49	1	4409
46039	1	14	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	5	49	2	2225
46039	1	15	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	49	2	2281
46039	1	16	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	3	51	3	1637
46039	1	17	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	4	49	3	1671
46039	1	18	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	3	51	3	1010
46039	1	19	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	5	51	1	893
46039	1	20	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	1	51	3	2391
46039	1	21	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	49	2	1046
46039	1	22	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	2	49	1	1689
46039	1	23	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	49	2	979
46039	1	24	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	49	2	1223
46039	1	25	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	4	50	1	1732
46039	1	26	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	4	49	3	2617
46039	1	27	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	4	51	2	4469
46039	1	28	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	4	51	2	2152
46039	1	29	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	2	49	1	1694
46039	1	30	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	49	2	1573
46039	1	31	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	6	51	1	2096
46039	1	32	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	2	49	1	2112
46039	1	33	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	2	51	2	1908
46039	1	34	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	51	3	7271
46039	1	35	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	4	51	2	11954
46039	1	36	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	1	49	1	3576
46039	1	37	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	51	3	1965
46039	1	38	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	4	50	1	2079
46039	1	39	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	2	50	3	1868
46039	1	40	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	6	49	3	2524
46039	1	41	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	51	2	2974
46039	1	42	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	5	50	3	1010
46039	1	43	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	51	1	1005
46039	1	44	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	4	51	2	4296
46039	1	45	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	2	51	2	807
46039	1	46	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	747
46039	1	47	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	51	3	1512
46039	1	48	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	2	51	2	1554
46039	1	49	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	4	50	1	1134
46039	1	50	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	4	51	2	968
46039	1	51	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	1	50	2	1346
46039	1	52	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	2	49	1	1272
46039	1	53	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	49	2	1603
46039	1	54	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	51	2	2870
46039	1	55	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	5	51	1	725
46039	1	56	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	50	3	1015
46039	1	57	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	51	2	1413
46039	1	58	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	3	51	3	2294
46039	1	59	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	51	2	1245
46039	1	60	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	51	1	1712
46039	1	61	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	5	49	2	1418
46039	1	62	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	51	1	1242
46039	1	63	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	49	2	3414
46039	1	64	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	49	2	1755
46039	1	65	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	49	2	1547
46039	1	66	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	2	51	2	882
46039	1	67	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	5	50	3	2717
46039	1	68	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	49	1	1159
46039	1	69	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	2	51	2	1144
46039	1	70	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	5	49	2	1060
46039	1	71	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	1	50	2	911
46039	1	72	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	3	49	2	1044
46039	1	73	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	6	49	3	1939
46039	1	74	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	5	49	2	983
46039	1	75	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	5	51	1	1072
46039	1	76	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	4	51	2	1036
46039	1	77	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	2	49	1	824
46039	1	78	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	51	2	1077
46039	1	79	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	1232
46039	1	80	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	51	2	908
46039	2	1	45.627	  75.000	  58.000	  59.000	  61.107	  56.000	SimA2	R	3	49	2	1143
46039	2	2	53.268	  71.000	  52.268	  63.577	  54.268	  60.773	Fill4	R	5	51	1	1243
46039	2	3	76.000	  46.579	  59.000	  60.000	  56.000	  63.214	SimB2	R	4	49	3	1522
46039	2	4	75.000	  48.800	  60.000	  61.000	  57.000	  64.211	SimB2	R	2	51	2	789
46039	2	5	76.000	  45.026	  59.000	  58.000	  54.000	  63.370	SimB2	R	6	50	2	1204
46039	2	6	76.000	  48.961	  61.000	  61.000	  82.761	  44.961	SimB1	R	4	51	2	1443
46039	2	7	46.877	  73.000	  59.000	  58.000	  64.566	  53.000	SimA2	R	5	50	3	935
46039	2	8	46.753	  77.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	4	49	3	4384
46039	2	9	47.838	  74.000	  60.000	  59.000	  44.838	  78.951	SimA1	R	3	49	2	1935
46039	2	10	38.667	  87.000	  36.667	  77.455	  40.667	  69.443	Fill5	R	4	50	1	1368
46039	2	11	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	50	1	1175
46039	2	12	46.141	  78.000	  59.000	  61.000	  42.141	  85.404	SimA1	R	4	51	2	1227
46039	2	13	76.000	  45.026	  59.000	  58.000	  81.425	  42.026	SimB1	R	5	51	1	1856
46039	2	14	48.158	  76.000	  61.000	  60.000	  45.158	  81.049	SimA1	R	4	49	3	976
46039	2	15	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	1246
