username: 46471, Experiment time (minutes): 21
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,2,153,1

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
46471	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	6596
46471	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	51	3	7052
46471	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	51	1	4798
46471	1	1	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	5	51	1	2124
46471	1	2	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	3	51	3	1717
46471	1	3	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	3	51	3	1986
46471	1	4	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	51	3	1389
46471	1	5	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	6	49	3	3007
46471	1	6	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	6	51	1	2121
46471	1	7	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	49	3	2062
46471	1	8	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	49	2	1198
46471	1	9	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	2	49	1	7665
46471	1	10	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	51	3	1593
46471	1	11	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	2	49	1	1388
46471	1	12	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	51	2	2022
46471	1	13	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	4	51	2	1593
46471	1	14	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	6	51	1	2052
46471	1	15	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	4	49	3	1389
46471	1	16	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	51	3	1727
46471	1	17	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	4	49	3	1749
46471	1	18	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	2	49	1	1802
