username: 46507, Experiment time (minutes): 36
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
46507	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	1	49	1	4012
46507	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	2213
46507	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	50	3	2635
46507	1	1	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	4	51	2	8992
46507	1	2	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	5	49	2	1685
46507	1	3	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	51	2	3055
46507	1	4	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	5	51	1	4330
46507	1	5	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	5	49	2	1647
46507	1	6	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	2	49	1	2275
46507	1	7	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	4	50	1	2575
46507	1	8	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	1	51	3	1370
46507	1	9	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	4	50	1	2211
46507	1	10	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	49	2	1436
46507	1	11	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	5	51	1	923
46507	1	12	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	6	49	3	1971
46507	1	13	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	2	51	2	941
46507	1	14	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	5	50	3	1073
46507	1	15	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	2	49	1	1366
46507	1	16	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	51	1	1723
46507	1	17	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	4	49	3	1844
46507	1	18	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	4	50	1	1009
46507	1	19	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	3	49	2	1235
46507	1	20	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	51	1	834
46507	1	21	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	2	49	1	701
46507	1	22	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	1	49	1	761
46507	1	23	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	49	2	823
46507	1	24	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	49	2	632
46507	1	25	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	2	49	1	726
46507	1	26	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	6	51	1	1454
46507	1	27	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	50	2	1177
46507	1	28	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	5	50	3	1245
46507	1	29	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	6	51	1	855
46507	1	30	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	2	49	1	2367
46507	1	31	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	2	51	2	2355
46507	1	32	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	1068
46507	1	33	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	1	51	3	1530
46507	1	34	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	4	49	3	1289
46507	1	35	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	50	3	1119
46507	1	36	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	5	51	1	3976
46507	1	37	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	5	51	1	961
46507	1	38	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	6	51	1	1053
46507	1	39	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	4	49	3	812
46507	1	40	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	51	1	1113
46507	1	41	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	1	50	2	1324
46507	1	42	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	49	1	941
46507	1	43	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	3	51	3	1370
46507	1	44	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	51	3	1603
46507	1	45	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	51	3	1221
46507	1	46	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	2	49	1	2555
46507	1	47	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	50	3	993
46507	1	48	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	4	50	1	842
46507	1	49	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	49	3	1911
46507	1	50	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	1	49	1	1566
46507	1	51	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	1168
46507	1	52	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	5	50	3	1392
46507	1	53	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	49	2	1703
46507	1	54	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	3	50	1	719
46507	1	55	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	5	51	1	1720
46507	1	56	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	5098
46507	1	57	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	3	49	2	1246
46507	1	58	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	3	51	3	1028
46507	1	59	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	5	49	2	1418
46507	1	60	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	4	49	3	922
46507	1	61	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	2	49	1	956
46507	1	62	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	3	50	1	1335
46507	1	63	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	3	49	2	1921
46507	1	64	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	51	3	1312
46507	1	65	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	2	49	1	1465
46507	1	66	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	2	50	3	1511
46507	1	67	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	2	49	1	941
46507	1	68	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	5	50	3	901
46507	1	69	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	5	51	1	882
46507	1	70	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	51	1	464
46507	1	71	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	49	3	292
46507	1	72	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	6	50	2	246
46507	1	73	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	2	50	3	504
46507	1	74	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	1	51	3	251
46507	1	75	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	5	49	2	289
46507	1	76	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	49	1	497
46507	1	77	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	2	51	2	727
46507	1	78	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	50	3	1523
46507	1	79	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	49	3	644
46507	1	80	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	2	51	2	696
46507	2	1	91.000	  36.967	  89.000	  33.000	  94.000	  30.904	Fill1	R	6	51	1	1431
46507	2	2	47.987	  75.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	4	50	1	2205
46507	2	3	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	6	51	1	1397
46507	2	4	46.141	  78.000	  59.000	  61.000	  64.268	  56.000	SimA2	R	1	49	1	728
46507	2	5	60.000	  61.000	  59.000	  53.898	  63.000	  50.444	Fill3	R	5	50	3	898
46507	2	6	46.400	  75.000	  60.000	  58.000	  65.660	  53.000	SimA2	R	4	49	3	1108
46507	2	7	44.577	  78.000	  57.000	  61.000	  61.000	  57.000	SimA2	R	5	49	2	669
46507	2	8	76.000	  45.789	  60.000	  58.000	  81.328	  42.789	SimB1	R	6	50	2	2060
46507	2	9	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	51	3	1049
46507	2	10	47.532	  77.000	  60.000	  61.000	  44.532	  82.187	SimA1	R	2	49	1	775
46507	2	11	76.000	  46.579	  59.000	  60.000	  56.000	  63.214	SimB2	R	5	50	3	1386
46507	2	12	48.158	  76.000	  61.000	  60.000	  65.357	  56.000	SimA2	R	3	49	2	1104
46507	2	13	47.838	  74.000	  60.000	  59.000	  44.838	  78.951	SimA1	R	4	51	2	695
