username: 47560, Experiment time (minutes): 20
Operating system: Windows 7
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
47560	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	3	51	3	3482
47560	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	4	49	3	3273
47560	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	6	51	1	3478
47560	1	1	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	1	50	2	2672
47560	1	2	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	3	50	1	1699
47560	1	3	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	5	49	2	1637
47560	1	4	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	50	1	3013
47560	1	5	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	2	49	1	1793
47560	1	6	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	3	49	2	1973
47560	1	7	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	49	1	2140
47560	1	8	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	5	51	1	3157
47560	1	9	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	51	2	1407
47560	1	10	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	5	49	2	758
47560	1	11	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	50	1	4636
47560	1	12	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	3	49	2	1000
47560	1	13	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	5	49	2	2017
47560	1	14	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	4	50	1	1684
47560	1	15	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	49	2	675
47560	1	16	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	1	50	2	1395
47560	1	17	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	1	51	3	979
47560	1	18	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	4	49	3	2856
47560	1	19	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	6	51	1	966
47560	1	20	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	875
47560	1	21	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	49	2	615
47560	1	22	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	51	3	784
47560	1	23	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	49	2	737
47560	1	24	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	1	50	2	918
47560	1	25	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	1293
47560	1	26	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	3	49	2	1351
47560	1	27	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	4	51	2	1096
47560	1	28	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	4	49	3	869
47560	1	29	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	4	51	2	1135
47560	1	30	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	1	49	1	723
47560	1	31	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	3	49	2	2066
47560	1	32	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	3	51	3	822
47560	1	33	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	3	50	1	1743
47560	1	34	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	3	49	2	1706
47560	1	35	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	51	3	893
47560	1	36	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	51	2	1076
47560	1	37	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	5	51	1	1014
47560	1	38	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	4	51	2	904
47560	1	39	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	51	1	730
47560	1	40	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	6	49	3	1276
