username: 48982, Experiment time (minutes): 161
Operating system: Windows XP
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
48982	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	4244
48982	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	50	1	3037
48982	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	4	51	2	4612
48982	1	1	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	51	1	4744
48982	1	2	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	50	3	2111
48982	1	3	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	1	50	2	2466
48982	1	4	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	4	50	1	4473
48982	1	5	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	1	50	2	3731
48982	1	6	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	4	50	1	3643
48982	1	7	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	2	97	1	80512
48982	1	8	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	4	98	1	4101
48982	1	9	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	6	97	3	5471
48982	1	10	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	3	99	3	4463
48982	1	11	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	1	97	1	14901
48982	1	12	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	2	99	2	3093
48982	1	13	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	99	2	1642
48982	1	14	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	5	99	1	2962
48982	1	15	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	5	97	2	2154
48982	1	16	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	1	97	1	3956
48982	1	17	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	5	98	3	1635
48982	1	18	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	98	3	2809
48982	1	19	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	97	2	3925
48982	1	20	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	1	97	1	2074
