username: 51025, Experiment time (minutes): 14
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,1,102,64

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51025	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	4281
51025	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	50	1	2466
51025	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	2917
51025	1	1	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	1	50	2	3099
51025	1	2	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	49	1	3396
51025	1	3	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	51	2	3748
51025	1	4	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	49	3	2741
51025	1	5	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	4	51	2	2353
51025	1	6	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	49	2	2157
51025	1	7	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	6	49	3	1160
51025	1	8	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	51	2	1286
51025	1	9	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	3	51	3	2278
51025	1	10	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	49	2	4649
51025	1	11	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	49	3	2550
51025	1	12	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	4	50	1	1783
51025	1	13	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	1180
51025	1	14	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	49	1	1720
51025	1	15	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	1	49	1	1066
51025	1	16	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	6	50	2	1270
51025	1	17	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	51	1	1071
51025	1	18	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	49	1	1299
51025	1	19	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	1	49	1	931
51025	1	20	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	3	49	2	1144
51025	1	21	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	3	49	2	1002
51025	1	22	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	4	51	2	746
51025	1	23	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	50	1	1216
51025	1	24	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	4	51	2	939
51025	1	25	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	3	50	1	1514
51025	1	26	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	880
51025	1	27	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	3	51	3	1144
51025	1	28	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	4	50	1	789
51025	1	29	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	1	49	1	947
51025	1	30	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	50	2	1129
51025	1	31	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	2	49	1	1181
51025	1	32	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	3	50	1	1274
51025	1	33	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	4	50	1	1057
51025	1	34	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	1	50	2	1570
51025	1	35	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	1	49	1	832
51025	1	36	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	1	50	2	1340
51025	1	37	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	2	49	1	806
51025	1	38	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	3	51	3	1085
51025	1	39	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	51	2	1002
51025	1	40	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	51	1	1251
51025	1	41	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	1	50	2	738
51025	1	42	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	1	49	1	798
51025	1	43	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	6	49	3	1173
51025	1	44	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	1	51	3	1086
51025	1	45	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	2	51	2	1251
51025	1	46	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	49	2	1691
51025	1	47	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	3	51	3	992
51025	1	48	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	5	51	1	1202
51025	1	49	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	51	1	1177
51025	1	50	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	49	2	1161
51025	1	51	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	49	3	1033
51025	1	52	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	3	49	2	1113
51025	1	53	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	51	2	764
51025	1	54	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	2	49	1	931
51025	1	55	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	822
51025	1	56	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	4	50	1	789
51025	1	57	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	5	51	1	779
51025	1	58	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	5	50	3	978
51025	1	59	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	49	2	791
51025	1	60	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	3	49	2	697
51025	1	61	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	643
51025	1	62	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	4	51	2	766
51025	1	63	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	1	51	3	790
51025	1	64	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	4	49	3	901
51025	1	65	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	2	49	1	869
51025	1	66	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	1	50	2	1184
51025	1	67	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	49	3	775
51025	1	68	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	2	49	1	615
51025	1	69	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	51	1	754
51025	1	70	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	4	50	1	659
51025	1	71	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	6	51	1	1055
51025	1	72	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	3	49	2	731
51025	1	73	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	4	51	2	849
