username: 51094, Experiment time (minutes): 45
Operating system: Windows 7
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51094	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	6	50	2	1773
51094	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	51	2	2771
51094	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	1	49	1	2224
51094	1	1	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	4	50	1	3055
51094	1	2	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	5	51	1	2135
51094	1	3	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	51	2	1963
51094	1	4	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	49	2	2068
51094	1	5	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	50	3	2325
51094	1	6	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	51	1	2372
51094	1	7	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	3	50	1	2258
51094	1	8	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	1	50	2	7343
51094	1	9	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	2	49	1	4471
51094	1	10	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	1	49	1	2061
51094	1	11	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	4	50	1	2932
51094	1	12	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	6	51	1	2327
51094	1	13	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	50	1	3968
51094	1	14	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	3	51	3	3305
51094	1	15	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	4	51	2	4513
51094	1	16	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	2	51	2	6353
51094	1	17	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	4	51	2	4851
51094	1	18	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	4	49	3	1569
51094	1	19	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	2	50	3	4092
51094	1	20	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	50	1	4600
51094	1	21	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	3980
51094	1	22	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	4	50	1	1476
51094	1	23	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	49	2	4554
51094	1	24	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	4	50	1	4464
51094	1	25	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	50	3	5451
51094	1	26	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	6	49	3	6192
51094	1	27	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	3	49	2	5026
51094	1	28	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	4	50	1	3012
51094	1	29	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	3	51	3	5445
51094	1	30	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	5	51	1	3816
51094	1	31	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	2	49	1	6920
51094	1	32	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	2	50	3	6430
51094	1	33	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	50	3	7009
51094	1	34	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	6	51	1	6111
51094	1	35	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	4988
51094	1	36	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	2	49	1	2161
51094	1	37	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	51	3	3355
51094	1	38	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	2798
51094	1	39	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	50	1	7787
51094	1	40	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	3	51	3	6447
51094	1	41	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	5	50	3	3280
51094	1	42	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	4	50	1	3212
51094	1	43	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	1	50	2	4625
51094	1	44	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	1	49	1	3101
51094	1	45	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	51	2	6469
51094	1	46	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	6	51	1	3247
51094	1	47	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	4	51	2	1597
51094	1	48	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	49	2	2812
51094	1	49	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	4	50	1	5511
51094	1	50	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	6242
51094	1	51	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	51	2	3326
51094	1	52	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	2	50	3	7014
51094	1	53	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	4	50	1	3023
51094	1	54	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	51	1	3476
51094	1	55	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	4	49	3	3828
51094	1	56	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	51	1	1821
51094	1	57	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	6	51	1	7070
51094	1	58	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	1	50	2	7049
51094	1	59	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	6	50	2	2532
51094	1	60	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	2674
51094	1	61	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	4	50	1	16808
51094	1	62	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	2	50	3	8939
51094	1	63	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	2	49	1	4465
51094	1	64	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	50	1	2229
51094	1	65	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	2	50	3	7757
51094	1	66	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	2	49	1	7180
51094	1	67	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	1	49	1	5368
51094	1	68	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	4	50	1	1853
51094	1	69	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	1	51	3	4341
51094	1	70	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	5	49	2	8992
51094	1	71	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	50	1	2056
51094	1	72	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	3	50	1	2067
51094	1	73	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	50	1	9922
51094	1	74	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	50	3	2644
51094	1	75	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	2285
51094	1	76	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	2173
51094	1	77	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	51	1	1702
51094	1	78	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	50	1	1040
51094	1	79	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	1714
51094	1	80	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	49	1	4744
51094	2	1	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	5	49	2	2731
51094	2	2	62.000	  61.000	  60.000	  56.000	  65.000	  51.600	Fill3	R	2	49	1	1140
51094	2	3	76.000	  46.579	  59.000	  60.000	  56.000	  63.214	SimB2	R	1	51	3	2042
51094	2	4	47.838	  74.000	  60.000	  59.000	  44.838	  78.951	SimA1	R	6	50	2	1292
51094	2	5	46.141	  78.000	  59.000	  61.000	  42.141	  85.404	SimA1	R	4	50	1	5963
51094	2	6	76.000	  48.158	  74.000	  43.716	  78.000	  41.282	Fill2	R	6	51	1	1181
51094	2	7	47.705	  78.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	5	50	3	3494
51094	2	8	47.838	  74.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	4	49	3	2184
51094	2	9	45.627	  75.000	  58.000	  59.000	  41.627	  82.207	SimA1	R	5	51	1	1533
51094	2	10	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	50	1	2775
51094	2	11	76.000	  45.026	  59.000	  58.000	  81.425	  42.026	SimB1	R	4	50	1	4517
51094	2	12	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	1	49	1	3548
51094	2	13	41.560	  91.000	  39.560	  81.698	  42.560	  77.067	Fill5	R	4	50	1	3596
51094	2	14	47.987	  75.000	  61.000	  59.000	  44.987	  80.001	SimA1	R	1	51	3	6727
51094	2	15	48.158	  76.000	  61.000	  60.000	  65.357	  56.000	SimA2	R	5	51	1	6750
51094	2	16	46.400	  75.000	  60.000	  58.000	  65.660	  53.000	SimA2	R	4	51	2	1535
51094	2	17	77.000	  47.532	  60.000	  61.000	  86.052	  42.532	SimB1	R	3	50	1	1020
51094	2	18	46.753	  77.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	2	50	3	1706
51094	2	19	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	1	49	1	1209
51094	2	20	53.268	  71.000	  52.268	  63.577	  54.268	  60.773	Fill4	R	1	49	1	1099
51094	2	21	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	5	51	1	2290
51094	2	22	46.141	  78.000	  59.000	  61.000	  64.268	  56.000	SimA2	R	5	50	3	928
51094	2	23	72.000	  46.722	  70.000	  41.629	  75.000	  39.400	Fill2	R	5	51	1	966
51094	2	24	46.579	  76.000	  59.000	  60.000	  42.579	  83.140	SimA1	R	2	49	1	2983
