username: 51139, Experiment time (minutes): 41
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,1,85,3

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51139	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	50	1	7429
51139	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	6668
51139	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	51	3	16414
51139	1	1	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	6	51	1	4137
51139	1	2	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	2	49	1	9678
51139	1	3	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	1	51	3	4427
51139	1	4	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	4	51	2	14728
51139	1	5	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	5	51	1	2750
51139	1	6	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	50	3	6611
51139	1	7	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	49	2	6862
51139	1	8	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	5	49	2	7856
51139	1	9	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	2	49	1	3161
51139	1	10	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	3	50	1	3879
51139	1	11	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	51	1	3309
51139	1	12	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	3	51	3	6354
51139	1	13	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	50	3	4683
51139	1	14	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	4	49	3	5976
51139	1	15	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	4	50	1	4295
51139	1	16	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	8164
51139	1	17	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	5	49	2	3520
51139	1	18	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	49	3	4105
51139	1	19	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	4	49	3	5167
51139	1	20	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	1	49	1	5066
51139	1	21	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	1	50	2	11663
51139	1	22	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	49	1	8770
51139	1	23	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	5	49	2	5362
51139	1	24	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	4	49	3	6351
51139	1	25	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	50	1	6422
51139	1	26	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	2	50	3	5421
51139	1	27	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	6	51	1	4458
51139	1	28	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	49	3	14156
51139	1	29	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	5	49	2	9240
51139	1	30	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	6	50	2	3444
51139	1	31	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	4	50	1	2779
51139	1	32	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	4	49	3	8733
51139	1	33	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	6	51	1	6069
51139	1	34	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	4	49	3	4210
51139	1	35	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	50	3	2758
51139	1	36	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	51	1	6053
51139	1	37	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	4	50	1	3191
51139	1	38	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	5	51	1	7708
51139	1	39	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	2	51	2	6318
51139	1	40	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	1	49	1	2763
51139	1	41	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	50	1	3053
51139	1	42	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	5	51	1	2434
51139	1	43	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	49	2	3007
51139	1	44	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	49	1	2331
51139	1	45	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	2	49	1	2852
51139	1	46	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	51	1	7450
51139	1	47	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	49	2	2120
51139	1	48	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	50	3	2042
51139	1	49	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	50	3	1296
51139	1	50	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	49	2	2047
51139	1	51	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	2	50	3	2618
51139	1	52	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	5	51	1	1824
51139	1	53	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	1	50	2	4429
51139	1	54	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	2	51	2	1899
51139	1	55	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	51	2	2143
51139	1	56	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	5	51	1	2021
51139	1	57	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	1785
51139	1	58	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	1	51	3	2349
51139	1	59	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	2	51	2	905
51139	1	60	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	51	2	2841
51139	1	61	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	49	2	5360
51139	1	62	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	5	49	2	2127
51139	1	63	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	6	51	1	4316
51139	1	64	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	1192
51139	1	65	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	3	51	3	3916
51139	1	66	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	3	51	3	3220
51139	1	67	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	4	51	2	1200
51139	1	68	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	3	51	3	909
51139	1	69	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	4	51	2	1554
51139	1	70	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	3	50	1	2418
51139	1	71	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	50	1	1452
51139	1	72	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	3	49	2	2141
51139	1	73	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	5	49	2	817
51139	1	74	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	4	50	1	3168
51139	1	75	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	50	3	1915
51139	1	76	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	1	50	2	1999
51139	1	77	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	3	50	1	4279
51139	1	78	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	1	50	2	2093
51139	1	79	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	5	51	1	1887
51139	1	80	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	7604
51139	2	1	75.000	  48.800	  60.000	  61.000	  83.562	  43.800	SimB1	R	6	51	1	20832
51139	2	2	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	6	50	2	1435
51139	2	3	76.000	  48.961	  61.000	  61.000	  82.761	  44.961	SimB1	R	6	50	2	1042
51139	2	4	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	2	51	2	993
51139	2	5	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	5	49	2	867
51139	2	6	73.000	  47.630	  57.000	  61.000	  81.562	  42.630	SimB1	R	5	49	2	745
51139	2	7	76.000	  45.026	  59.000	  58.000	  54.000	  63.370	SimB2	R	2	50	3	1756
51139	2	8	46.400	  75.000	  60.000	  58.000	  43.400	  80.184	SimA1	R	5	49	2	725
51139	2	9	44.577	  78.000	  57.000	  61.000	  61.000	  57.000	SimA2	R	3	49	2	1489
51139	2	10	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	51	3	992
51139	2	11	74.000	  46.243	  58.000	  59.000	  79.134	  43.243	SimB1	R	3	49	2	693
51139	2	12	59.000	  61.000	  58.000	  53.776	  62.000	  50.081	Fill3	R	2	49	1	716
51139	2	13	77.000	  47.532	  61.000	  60.000	  86.052	  42.532	SimB1	R	2	51	2	707
51139	2	14	39.989	  90.000	  36.989	  82.998	  40.989	  75.264	Fill5	R	1	49	1	1455
51139	2	15	47.532	  77.000	  60.000	  61.000	  44.532	  82.187	SimA1	R	5	51	1	901
51139	2	16	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	49	3	1210
51139	2	17	76.000	  46.579	  59.000	  60.000	  56.000	  63.214	SimB2	R	6	49	3	4292
51139	2	18	48.158	  76.000	  61.000	  60.000	  45.158	  81.049	SimA1	R	5	51	1	785
51139	2	19	78.000	  46.141	  61.000	  59.000	  85.404	  42.141	SimB1	R	4	51	2	645
51139	2	20	50.833	  72.000	  48.833	  65.877	  52.833	  60.379	Fill4	R	3	50	1	1564
