username: 51229, Experiment time (minutes): 12
Operating system: Windows 7
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51229	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	3942
51229	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	49	3	5371
51229	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	4	51	2	1104
51229	1	1	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	2	49	1	890
51229	1	2	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	50	3	326
51229	1	3	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	51	3	259
51229	1	4	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	1	49	1	276
51229	1	5	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	3	51	3	240
51229	1	6	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	5	50	3	204
51229	1	7	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	3	49	2	286
51229	1	8	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	6	51	1	269
51229	1	9	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	4	49	3	190
51229	1	10	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	4	49	3	44
51229	1	11	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	49	2	63
51229	1	12	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	3	51	3	17
51229	1	13	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	3	50	1	63
51229	1	14	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	5	49	2	19
51229	1	15	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	5	49	2	62
51229	1	16	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	6	50	2	33
51229	1	17	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	3	51	3	16
51229	1	18	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	1	50	2	127
51229	1	19	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	50	3	24
51229	1	20	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	3	50	1	116
51229	1	21	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	1	50	2	53
51229	1	22	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	2	50	3	72
51229	1	23	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	1	51	3	162
51229	1	24	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	6	49	3	238
51229	1	25	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	50	1	1214
51229	1	26	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	1	50	2	98
51229	1	27	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	50	3	352
51229	1	28	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	50	3	124
51229	1	29	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	4	49	3	107
51229	1	30	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	3	51	3	134
51229	1	31	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	4	50	1	148
51229	1	32	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	4	50	1	273
51229	1	33	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	49	1	249
51229	1	34	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	5	51	1	81
51229	1	35	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	50	3	206
51229	1	36	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	5	51	1	180
51229	1	37	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	50	1	197
51229	1	38	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	5	50	3	724
51229	1	39	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	50	3	592
51229	1	40	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	51	1	193
51229	1	41	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	1	51	3	110
51229	1	42	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	3	50	1	102
51229	1	43	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	1	50	2	25
51229	1	44	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	50	3	206
51229	1	45	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	6	50	2	117
51229	1	46	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	3	50	1	100
