username: 51421, Experiment time (minutes): 13
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,183,7

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51421	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	1	174	0	910
51421	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	5	174	0	299
51421	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	174	0	1447
51421	1	1	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	2	49	1	1912
51421	1	2	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	51	3	1247
51421	1	3	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	49	3	1333
51421	1	4	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	1	51	3	2055
51421	1	5	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	49	1	2166
51421	1	6	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	2	49	1	1152
51421	1	7	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	2	49	1	1820
51421	1	8	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	4	49	3	2207
51421	1	9	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	1	49	1	1718
51421	1	10	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	4	51	2	1018
51421	1	11	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	2	49	1	1513
51421	1	12	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	1	50	2	862
51421	1	13	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	3	49	2	1185
51421	1	14	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	4	51	2	772
51421	1	15	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	3	51	3	2291
51421	1	16	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	49	1	4057
51421	1	17	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	1	50	2	1268
51421	1	18	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	49	2	1823
51421	1	19	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	49	3	1481
51421	1	20	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	49	1	3913
51421	1	21	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	50	3	1296
51421	1	22	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	2	51	2	3943
51421	1	23	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	4	49	3	734
51421	1	24	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	6	49	3	913
51421	1	25	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	50	3	583
51421	1	26	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	616
51421	1	27	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	49	2	407
51421	1	28	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	4	50	1	335
51421	1	29	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	4	49	3	249
51421	1	30	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	1	50	2	253
51421	1	31	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	51	2	178
51421	1	32	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	5	50	3	230
51421	1	33	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	2	50	3	91
51421	1	34	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	49	2	229
51421	1	35	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	2	51	2	57
51421	1	36	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	4	50	1	162
51421	1	37	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	6	49	3	115
51421	1	38	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	5	51	1	105
51421	1	39	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	3	50	1	94
51421	1	40	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	3	49	2	93
51421	1	41	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	5	50	3	97
51421	1	42	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	2	49	1	41
