username: 51442, Experiment time (minutes): 65
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51442	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	50	1	7540
51442	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	3	50	1	2911
51442	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	6366
51442	1	1	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	1	49	1	2282
51442	1	2	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	50	1	1094
51442	1	3	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	6	51	1	2417
51442	1	4	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	3	50	1	2190
51442	1	5	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	50	1	6192
51442	1	6	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	5	51	1	2818
51442	1	7	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	51	3	2159
51442	1	8	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	2	50	3	3158
51442	1	9	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	3	50	1	5621
51442	1	10	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	4	50	1	1221
51442	1	11	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	49	1	2900
51442	1	12	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	49	1	4145
51442	1	13	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	1	49	1	3558
51442	1	14	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	5	51	1	3521
51442	1	15	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	2	49	1	5821
51442	1	16	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	3	50	1	2190
51442	1	17	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	49	3	6217
51442	1	18	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	1588
51442	1	19	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	4	50	1	1118
51442	1	20	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	4	50	1	3972
51442	1	21	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	9127
51442	1	22	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	49	2	1288
51442	1	23	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	3	50	1	874
51442	1	24	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	51	2	9211
51442	1	25	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	5	49	2	1797
51442	1	26	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	3	50	1	973
51442	1	27	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	5	50	3	4819
51442	1	28	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	2	49	1	1298
51442	1	29	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	1157
51442	1	30	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	3	50	1	1493
51442	1	31	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	4	50	1	1312
51442	1	32	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	50	1	1057
51442	1	33	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	1557
51442	1	34	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	3	50	1	4205
51442	1	35	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	1	49	1	2205
51442	1	36	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	2	49	1	1709
51442	1	37	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	3	51	3	3381
51442	1	38	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	1	49	1	2695
51442	1	39	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	50	1	1387
