username: 51526, Experiment time (minutes): 18
Operating system: Mac OS 10.6.3
Manufacturer: Adobe Macintosh
Player type: PlugIn
Version: MAC 10,3,183,7

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51526	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	2	49	1	4997
51526	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	2	51	2	5065
51526	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	2	51	2	3821
51526	1	1	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	49	2	5659
51526	1	2	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	50	2	5740
51526	1	3	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	1	49	1	3141
51526	1	4	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	2	50	3	2793
51526	1	5	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	3	49	2	1936
51526	1	6	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	4	51	2	3777
51526	1	7	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	2	50	3	4359
51526	1	8	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	6	49	3	2825
51526	1	9	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	6	51	1	1234
51526	1	10	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	5	51	1	1931
51526	1	11	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	2	49	1	1344
51526	1	12	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	3	49	2	1502
51526	1	13	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	4	51	2	1505
51526	1	14	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	51	2	935
51526	1	15	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	2	51	2	672
51526	1	16	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	3	51	3	708
51526	1	17	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	3	49	2	1433
51526	1	18	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	4	51	2	1682
51526	1	19	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	1	50	2	2014
51526	1	20	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	1	49	1	1821
51526	1	21	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	4	50	1	1706
51526	1	22	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	4	51	2	2103
51526	1	23	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	4	50	1	1730
51526	1	24	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	3	51	3	1648
51526	1	25	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	50	3	1090
51526	1	26	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	5	51	1	738
51526	1	27	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	6	49	3	787
51526	1	28	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	1	51	3	806
51526	1	29	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	2	49	1	630
51526	1	30	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	51	2	1048
51526	1	31	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	49	2	969
51526	1	32	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	5	51	1	718
51526	1	33	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	3	49	2	1216
51526	1	34	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	4	50	1	1013
51526	1	35	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	1	49	1	1009
51526	1	36	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	5	51	1	1165
51526	1	37	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	5	49	2	1221
51526	1	38	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	3	49	2	814
51526	1	39	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	2	50	3	785
51526	1	40	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	5	51	1	1659
51526	1	41	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	1	49	1	842
51526	1	42	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	4	49	3	1961
51526	1	43	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	1	51	3	1485
51526	1	44	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	3	50	1	723
51526	1	45	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	5	51	1	705
51526	1	46	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	2	49	1	712
51526	1	47	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	51	2	1986
51526	1	48	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	5	49	2	993
51526	1	49	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	49	2	766
51526	1	50	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	51	1	782
51526	1	51	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	6	49	3	1047
51526	1	52	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	50	3	628
51526	1	53	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	6	49	3	643
51526	1	54	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	5	51	1	580
51526	1	55	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	2	50	3	536
51526	1	56	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	49	2	989
51526	1	57	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	3	49	2	1660
51526	1	58	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	2	51	2	787
51526	1	59	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	2	50	3	658
