username: 51796, Experiment time (minutes): 39
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,0,42,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51796	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	6	50	2	7078
51796	0	2	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	2453
51796	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	3984
51796	1	1	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	5	51	1	4172
51796	1	2	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	51	2	4422
51796	1	3	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	2	51	2	3141
51796	1	4	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	2	49	1	2641
51796	1	5	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	6	50	2	1437
51796	1	6	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	2	49	1	1532
51796	1	7	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	49	2	1047
51796	1	8	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	2	51	2	2328
51796	1	9	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	3	50	1	4187
51796	1	10	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	49	3	5187
51796	1	11	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	6	50	2	5282
51796	1	12	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	5	50	3	3641
51796	1	13	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	3	50	1	5485
51796	1	14	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	4	50	1	3641
51796	1	15	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	4	50	1	1703
51796	1	16	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	5	50	3	3344
51796	1	17	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	2	51	2	6031
51796	1	18	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	51	1	3094
51796	1	19	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	5	49	2	3453
51796	1	20	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	3	49	2	2391
51796	1	21	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	1	51	3	3704
51796	1	22	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	1	51	3	2968
51796	1	23	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	51	3	4188
51796	1	24	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	2	49	1	2906
51796	1	25	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	4	49	3	2500
51796	1	26	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	3	51	3	4391
51796	1	27	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	6	49	3	5640
51796	1	28	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	50	1	2844
