username: 51808, Experiment time (minutes): 34
Operating system: Windows Vista
Manufacturer: Adobe Windows
Player type: ActiveX
Version: WIN 10,3,181,26

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51808	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	50	1	5321
51808	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	2426
51808	0	3	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	2	51	2	6090
51808	1	1	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	3	49	2	2679
51808	1	2	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	4	50	1	2690
51808	1	3	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	50	1	3587
51808	1	4	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	50	3	1671
51808	1	5	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	4	51	2	6287
51808	1	6	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	50	3	1437
51808	1	7	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	50	3	2344
51808	1	8	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	2	49	1	7958
51808	1	9	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	49	2	4244
51808	1	10	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	50	3	1709
51808	1	11	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	4	50	1	3259
51808	1	12	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	1	49	1	2423
51808	1	13	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	4	51	2	4107
51808	1	14	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	1	49	1	3789
51808	1	15	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	7398
51808	1	16	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	3	49	2	5253
