username: 51961, Experiment time (minutes): 48
Operating system: Windows 7
Manufacturer: Google Windows
Player type: PlugIn
Version: WIN 11,0,1,152

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51961	0	1	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	3	50	1	4572
51961	0	2	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	4	50	1	2375
51961	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	3	49	2	2116
51961	1	1	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	4	50	1	1650
51961	1	2	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	2	51	2	4573
51961	1	3	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	3	49	2	3321
51961	1	4	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	3	51	3	1509
51961	1	5	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	49	2	2186
51961	1	6	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	51	2	3214
51961	1	7	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	6	50	2	4748
51961	1	8	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	5	49	2	2259
51961	1	9	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	2	49	1	1298
51961	1	10	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	49	3	2049
51961	1	11	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	49	2	3010
51961	1	12	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	3	49	2	1831
51961	1	13	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	5	51	1	1452
51961	1	14	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	5	49	2	2415
51961	1	15	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	6	51	1	2826
51961	1	16	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	6	50	2	1399
51961	1	17	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	6	49	3	1163
51961	1	18	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	5	49	2	4464
51961	1	19	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	1	49	1	1250
51961	1	20	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	6	51	1	5260
51961	1	21	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	2	51	2	7514
51961	1	22	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	6	49	3	3345
51961	1	23	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	5	51	1	2323
51961	1	24	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	2	49	1	1165
51961	1	25	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	3	49	2	3414
51961	1	26	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	50	1	3132
51961	1	27	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	1	51	3	1427
