username: 51979, Experiment time (minutes): 18
Operating system: Windows XP
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,34

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
51979	0	1	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	1	49	1	3665
51979	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	2	49	1	1968
51979	0	3	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	6	51	1	1372
51979	1	1	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	5	49	2	2141
51979	1	2	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	3	49	2	6220
51979	1	3	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	2	49	1	2374
51979	1	4	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	5	50	3	2490
51979	1	5	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	50	1	1930
51979	1	6	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	6	51	1	1646
51979	1	7	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	2	50	3	1558
51979	1	8	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	6	51	1	1547
51979	1	9	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	3	49	2	1553
51979	1	10	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	2	49	1	5797
51979	1	11	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	2	51	2	1560
51979	1	12	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	50	3	1149
51979	1	13	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	2	49	1	4500
51979	1	14	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	4	50	1	3945
51979	1	15	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	5	51	1	1109
51979	1	16	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	4	50	1	2556
51979	1	17	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	6	51	1	2751
51979	1	18	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	1	50	2	3860
51979	1	19	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	51	2	1238
51979	1	20	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	3	49	2	1246
51979	1	21	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	5	49	2	2229
51979	1	22	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	2	49	1	1368
51979	1	23	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	2	51	2	1323
51979	1	24	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	1	50	2	3616
51979	1	25	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	2	51	2	795
51979	1	26	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	4	51	2	4757
51979	1	27	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	4	50	1	1858
51979	1	28	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	3	49	2	1211
51979	1	29	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	51	2	1181
51979	1	30	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	4	49	3	856
51979	1	31	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	4	51	2	1144
51979	1	32	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	51	3	1229
51979	1	33	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	4	49	3	1551
51979	1	34	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	49	2	1045
51979	1	35	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	2	51	2	1284
51979	1	36	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	3	49	2	933
51979	1	37	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	2	50	3	2883
51979	1	38	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	4	50	1	1282
51979	1	39	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	5	51	1	3459
51979	1	40	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	3	49	2	908
51979	1	41	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	6	50	2	1463
51979	1	42	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	3	49	2	847
51979	1	43	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	1	51	3	1135
51979	1	44	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	1	50	2	2028
51979	1	45	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	5	49	2	1847
51979	1	46	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	51	2	1287
51979	1	47	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	2	51	2	1583
51979	1	48	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	5	51	1	2474
51979	1	49	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	49	2	4138
51979	1	50	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	2	49	1	2248
51979	1	51	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	4	50	1	3182
51979	1	52	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	2	49	1	1379
51979	1	53	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	3	50	1	2795
51979	1	54	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	1	51	3	2878
51979	1	55	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	5	51	1	1247
51979	1	56	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	6	51	1	1295
51979	1	57	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	4	51	2	4311
51979	1	58	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	49	2	1497
51979	1	59	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	5	50	3	1617
51979	1	60	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	4	49	3	1588
51979	1	61	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	5	51	1	1271
51979	1	62	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	49	3	1727
51979	1	63	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	3	50	1	892
51979	1	64	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	6	50	2	1586
51979	1	65	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	6	51	1	862
51979	1	66	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	3	50	1	886
51979	1	67	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	2	49	1	1087
51979	1	68	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	4	49	3	1359
